ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
85001	35.469410	-80.854543	35.034677	-80.848159	35.1605592738	40.7953972195
85002	35.143644	-80.977105	35.343727	-80.703193	27.5859501359	29.7420543187
85003	35.414889	-80.906763	35.070142	-81.023758	32.4847986933	38.4574496501
85004	35.297655	-80.723964	35.096989	-81.032240	29.7489197282	36.4904250587
85005	35.095259	-80.837522	35.481451	-80.815722	35.1046937942	42.7408725035
85006	35.097090	-80.752376	35.449215	-80.891903	32.2108253064	45.7322619327
85007	35.472852	-80.866625	35.021159	-80.837923	36.3187974624	43.9067709741
85008	35.471885	-80.918498	35.116673	-80.786264	33.5734799936	43.9475386013
85009	35.445774	-80.866250	35.055051	-80.875137	30.6933793906	34.7136671158
85010	35.068626	-81.006616	35.323611	-80.707973	29.6289411068	37.0530239545
85011	35.433177	-80.860766	35.082300	-81.052519	32.9577878442	39.1607563731
85012	35.133003	-80.811421	35.486774	-80.824243	31.8500717465	41.7273270207
85013	35.175899	-80.714543	35.496990	-80.831939	30.6845599241	38.3112018585
85014	35.484892	-80.893242	35.051634	-80.810667	36.9383652866	40.8525050738
85015	35.094852	-80.783397	35.508993	-80.841446	38.6357045106	45.9047083479
85016	35.417591	-80.851664	35.426999	-80.847896	1.09424119415	4.28978274182
85017	35.073113	-80.732867	35.328079	-80.971119	31.4957365925	36.9606355339
85018	35.217884	-80.819990	35.209765	-80.812722	0.958387553174	2.58827045518
85019	35.391121	-80.875590	35.050944	-80.795724	34.6496719036	37.8363651651
85020	35.017783	-80.823639	35.405048	-80.836679	33.14701676	40.6599321756
85021	35.083927	-80.745349	35.420822	-80.837907	29.4555722232	42.3883995446
85022	35.141499	-81.007598	35.481500	-80.852210	31.3799863478	35.0905668074
85023	35.434715	-80.859334	35.079011	-80.833768	30.6399933207	37.4275278425
85024	35.414668	-80.834602	35.067632	-80.727748	29.8626139236	41.9584559777
85025	35.493664	-80.875090	35.190493	-80.720966	27.6135302732	33.511653306
85026	35.093447	-80.992613	35.410996	-80.761702	31.6997256757	40.8786549266
85027	35.145539	-80.654260	35.137200	-81.007427	29.2690667921	32.1955752541
85028	35.068626	-81.006616	35.446270	-80.900299	33.3505118521	38.5388030901
85029	35.103549	-80.720961	35.438226	-80.820433	35.6674627377	40.448471368
85030	35.388958	-80.913270	35.183723	-80.597748	35.7813707261	40.6332635963
85031	35.092006	-80.988342	35.330773	-80.736751	27.823693721	32.0839379968
85032	35.384480	-80.781126	35.080800	-80.990492	28.8410651828	34.224075302
85033	35.183191	-80.624000	35.406752	-80.894637	36.2917195693	37.9520829381
85034	35.465729	-80.804755	35.084916	-80.838952	35.8326950176	43.0912016866
85035	35.054310	-80.869540	35.372774	-80.735289	30.4018214377	36.5946745277
85036	35.435901	-80.897181	35.066805	-80.725846	32.87130255	45.8889218881
85037	35.127286	-81.026062	35.246987	-80.685485	31.1863138973	40.4331072696
85038	35.331506	-80.806161	35.350150	-80.816939	3.43804694166	6.64518143215
85039	35.042401	-80.845174	35.396596	-80.851782	30.7516271294	35.152679555
85040	35.326673	-80.707341	35.085802	-80.995580	32.8257066562	37.6452180343
85041	35.058830	-80.793984	35.050094	-80.800328	1.83263621464	5.33563228197
85042	35.493118	-80.860503	35.165760	-80.676130	31.1782192552	41.0433598816
85043	35.088719	-81.001715	35.465129	-80.854133	33.0093534545	40.6862763566
85044	35.419658	-80.848473	35.020584	-80.827334	33.2383798282	40.3628451548
85045	35.117603	-80.706296	35.447405	-80.884635	28.1666086925	35.8476986021
85046	35.430229	-80.848534	35.089535	-80.912597	26.8742988843	32.3732757116
85047	35.356234	-80.774379	35.370942	-80.759532	3.46169092815	7.23517754656
85048	35.165377	-80.758004	35.503280	-80.844521	28.4815807922	35.2145216867
85049	35.338423	-80.774454	35.342574	-80.791404	4.1948102827	8.52456871841
85050	35.103959	-81.001343	35.109213	-80.996214	2.00895734302	6.86364590584
85051	35.051441	-80.840105	35.037621	-80.839314	2.29184031647	4.63252760132
85052	35.455082	-80.825695	35.114352	-80.662430	33.2557369656	36.5189870701
85053	35.137574	-80.701176	35.415388	-80.928590	27.1949030993	39.3721542676
85054	35.190523	-80.860164	35.169532	-80.862327	2.73312665298	7.23674933777
85055	35.163463	-80.995226	35.157468	-80.644354	28.8386230048	31.4760422164
85056	35.066044	-80.785486	35.469351	-80.866915	36.3119912884	41.7029716407
85057	35.339114	-80.832734	35.065119	-81.040762	28.8805199674	35.721180892
85058	35.036489	-80.861576	35.470332	-80.878118	36.9889781639	45.3243279157
85059	35.159630	-80.985203	35.343859	-80.697949	27.2128610079	29.3494291802
85060	35.461316	-80.888657	35.092698	-80.802116	35.0142972096	42.0242876007
85061	35.136344	-80.683538	35.415569	-80.923274	28.161210573	39.8467851643
85062	35.050195	-80.837627	35.042015	-80.848445	1.97870754243	5.93778068387
85063	35.435244	-80.879846	35.091561	-80.807195	34.0806434086	41.4685878037
85064	35.372221	-80.805418	35.019149	-80.833980	31.284836107	35.7300369532
85065	35.473666	-80.885476	35.132727	-80.862646	29.0470381012	36.9271709265
85066	35.046358	-80.807467	35.498790	-80.861375	37.928841573	40.142527805
85067	35.228270	-80.632775	35.096058	-80.971300	32.2622706677	34.5863493812
85068	35.072127	-81.014080	35.503757	-80.854757	38.0192292398	43.6101011036
85069	35.093152	-80.776467	35.086177	-80.770542	0.785645803827	1.81902187634
85070	35.445774	-80.866250	35.068062	-80.839132	31.4606074747	34.0159717141
85071	35.197650	-80.592386	35.459738	-80.849045	36.9895723554	43.1943536895
85072	35.055904	-80.832224	35.469544	-80.853100	35.4963252041	40.813974072
85073	35.167040	-80.607451	35.167205	-80.979180	30.6868179165	32.2126171605
85074	35.087927	-80.823456	35.441854	-80.902203	32.5655854329	38.9446024588
85075	35.115089	-80.726859	35.419026	-80.926833	27.5391846571	42.2667609348
85076	35.421428	-80.856943	35.111459	-80.995475	28.6370829672	32.8022985293
85077	35.069202	-81.021145	35.380428	-80.751135	33.3953649529	40.6627553436
85078	35.184970	-80.651673	35.475165	-80.828382	28.7381706249	34.0406888843
85079	35.023609	-80.817885	35.495754	-80.832849	41.3606720939	50.6030065954
85080	35.110962	-80.742777	35.450756	-80.819476	30.9571822489	39.852729969
85081	35.044764	-80.862048	35.373240	-80.757813	38.3749806972	42.1537439408
85082	35.451096	-80.873721	35.121533	-80.970364	30.0735557475	33.0469178755
85083	35.384090	-80.909207	35.068217	-80.745823	36.6350582907	43.5627285221
85084	35.184734	-80.853736	35.184733	-80.861038	1.13525417017	4.52670166555
85085	35.324136	-80.784552	35.064756	-81.047753	31.7074754584	39.3516937017
85086	35.102316	-80.725778	35.469309	-80.834139	32.042845649	42.160017403
85087	35.155592	-80.988812	35.146939	-80.988257	0.790586939308	1.59551493259
85088	35.055859	-80.742660	35.412634	-80.904592	37.493211375	42.9007690779
85089	35.459793	-80.878939	35.466113	-80.886660	1.12626233603	3.16130197489
85090	35.171471	-80.857806	35.184762	-80.852757	1.31615157553	2.80986641661
85091	35.176687	-80.602009	35.495469	-80.832073	32.1283353298	41.9666216894
85092	35.157678	-80.998131	35.161192	-80.979136	1.42276075122	3.45822306748
85093	35.426732	-80.874867	35.079144	-81.025046	31.6623024362	38.2396613869
85094	35.089334	-80.725318	35.497237	-80.852830	34.5490400483	44.6745013672
85095	35.056712	-80.854232	35.388465	-80.768679	31.0879591488	36.1808563269
85096	35.133282	-80.742675	35.494312	-80.833043	32.3246365652	42.3953451402
85097	35.486797	-80.907347	35.163470	-80.727125	28.8517127867	35.6424152664
85098	35.087773	-80.844124	35.470513	-80.854814	31.6506713517	37.4870075292
85099	35.431268	-80.815492	35.089204	-80.853469	31.485287711	38.2999992605
85100	35.475863	-80.857694	35.121494	-80.845359	28.8008614917	38.6982742039
85101	35.398091	-80.885474	35.095255	-80.716093	29.0902669015	40.4653802191
85102	35.462775	-80.888695	35.105153	-80.807931	31.1905465382	40.7629575863
85103	35.118801	-80.668706	35.419157	-80.901922	30.5663319779	42.3826417859
85104	35.121324	-80.857101	35.125586	-80.836962	1.59901136402	4.55495172736
85105	35.492881	-80.899449	35.137519	-80.849052	29.5077983002	38.1294744877
85106	35.053174	-81.042436	35.456078	-80.889092	36.5751479626	44.4871736287
85107	35.168421	-80.759581	35.501290	-80.854202	27.7480885213	32.5031201751
85108	35.178503	-80.807880	35.170797	-80.817526	0.875978132385	3.32433712473
85109	35.495842	-80.911807	35.087277	-81.006576	35.1005031666	41.8863941288
85110	35.154338	-80.665451	35.103741	-81.001875	27.671420102	35.1526678077
85111	35.081383	-80.821957	35.450616	-80.887581	32.4010740584	37.5338723966
85112	35.168703	-80.608340	35.245638	-81.004332	36.1471775472	36.2527582941
85113	35.105822	-80.979186	35.112657	-80.981139	0.954129720287	2.98592572481
85114	35.303580	-80.702483	35.093038	-81.044015	32.03098048	40.5568273444
85115	35.373568	-80.750765	35.088719	-81.001715	32.1325222468	42.0396753295
85116	35.249407	-80.853683	35.247807	-80.840295	1.04725513437	2.62957878719
85117	35.328951	-80.941882	35.200880	-80.594030	34.2382535306	37.9643956597
85118	35.478442	-80.858337	35.045462	-80.843457	35.7355382355	41.5032073093
85119	35.078417	-80.826770	35.442336	-80.896798	31.8825290219	37.6665639186
85120	35.486516	-80.870916	35.093591	-80.736746	32.3157939045	41.7188200585
85121	35.495842	-80.911807	35.149820	-80.969485	30.0707688252	34.2777172938
85122	35.200803	-80.597791	35.123128	-80.990848	37.197510893	43.2268054863
85123	35.099515	-80.989005	35.385954	-80.795288	27.7422087335	31.9874513623
85124	35.440780	-80.844524	35.120787	-80.960158	28.8392337269	32.3297891556
85125	35.410484	-80.863791	35.067384	-81.003141	29.1510602917	33.6767579372
85126	35.117528	-80.746908	35.452471	-80.851231	31.0300030692	41.64764135
85127	35.119552	-80.683088	35.507253	-80.852958	33.1329971394	42.1202122487
85128	35.092479	-80.849539	35.429797	-80.827870	30.2248935586	38.3120219527
85129	35.167040	-80.607451	35.154219	-80.979898	30.8317006706	33.0309756813
85130	35.104853	-80.860306	35.452205	-80.892232	30.9267166675	35.9921710141
85131	35.346887	-80.782352	35.099824	-81.033877	32.7384450766	39.096919042
85132	35.233121	-80.715903	35.058774	-81.039285	30.9838749174	41.7531455957
85133	35.248495	-80.737249	35.251634	-80.718417	2.01542958879	3.3108686292
85134	35.157196	-80.683370	35.146729	-80.685976	1.17180207173	2.60854302981
85135	35.264162	-80.988462	35.200169	-80.652866	23.9410167529	32.4885742785
85136	35.502036	-80.861234	35.070734	-81.033920	36.7999516188	40.9207778504
85137	35.418243	-80.881124	35.090357	-80.705487	31.2520257644	43.7311418174
85138	35.413537	-80.832158	35.048352	-80.797041	34.1646233056	40.8170569878
85139	35.479005	-80.813293	35.115672	-80.693131	36.9677951862	44.049531289
85140	35.476350	-80.909482	35.106549	-80.764699	33.2009898009	43.1432780661
85141	35.485630	-80.863680	35.125227	-80.893170	26.8665050588	30.7091393426
85142	35.147840	-80.886822	35.491651	-80.898203	27.7472289211	34.9273492559
85143	35.189307	-80.663739	35.103820	-80.992853	30.8992875576	37.4149255821
85144	35.476601	-80.856713	35.106425	-80.787363	34.0965306781	46.6459612872
85145	35.083774	-80.775890	35.431659	-80.879548	36.3904736063	42.6182332284
85146	35.049215	-80.832160	35.501702	-80.854685	37.3265295559	41.918098359
85147	35.144409	-80.745855	35.493984	-80.853135	28.909773447	37.1935744684
85148	35.498095	-80.887345	35.113129	-80.860585	30.1700483247	37.7699481591
85149	35.418498	-80.866625	35.082479	-81.031303	32.6349577142	38.9582489054
85150	35.457726	-80.899961	35.097367	-80.857212	33.3495478093	40.9238129887
85151	35.115620	-80.746539	35.491954	-80.850577	34.0028211582	44.5794113667
85152	35.201102	-80.579303	35.099608	-81.001061	33.5655966997	38.4457479046
85153	35.143773	-80.828281	35.481597	-80.851411	29.0154878249	36.9369632336
85154	35.053495	-80.876439	35.425607	-80.798954	31.934158466	38.3830739337
85155	35.237809	-80.746511	35.242411	-80.744589	0.565074470312	1.41505695733
85156	35.434619	-80.824944	35.086341	-80.706966	37.1766225515	44.2120370028
85157	35.135286	-80.662128	35.375820	-80.921516	27.0086477964	39.5410776078
85158	35.375334	-80.765136	35.374885	-80.746898	3.2479210761	8.49435991305
85159	35.168685	-80.795406	35.160720	-80.776758	1.49479616425	3.0881864827
85160	35.142482	-80.654136	35.428609	-80.855607	29.7316821689	39.6692199377
85161	35.090692	-80.708617	35.479257	-80.814605	38.2729991638	45.1595286817
85162	35.119910	-80.667018	35.462587	-80.835352	39.0752104217	44.7749592672
85163	35.164517	-80.614189	35.216466	-80.971979	33.7728607389	35.1650183794
85164	35.429652	-80.911772	35.137593	-80.662509	31.8218706695	40.4279667479
85165	35.078314	-80.720175	35.425180	-80.799359	35.3646937015	40.9714661615
85166	35.433591	-80.813318	35.149444	-80.996657	28.0522553026	33.1160462974
85167	35.174290	-80.663134	35.143130	-81.028444	31.2616896972	38.6786533581
85168	35.371148	-80.740681	35.039749	-80.853104	32.7740368307	38.301687543
85169	35.132089	-80.696613	35.502358	-80.861236	32.5070332428	39.3380212466
85170	35.382597	-80.906020	35.019533	-80.857430	32.5258295244	38.1812928926
85171	35.084216	-80.808953	35.448194	-80.885606	34.5127514893	39.5343508403
85172	35.068155	-80.790381	35.410575	-80.833928	32.7229585441	38.1591703253
85173	35.478768	-80.908917	35.069921	-80.880741	34.0543860008	39.8230261969
85174	35.189040	-80.640011	35.477977	-80.815038	27.4808697563	33.0050257998
85175	35.421187	-80.881440	35.048288	-81.033987	33.411242725	41.7419839773
85176	35.466563	-80.923932	35.022286	-80.837758	39.6148839471	46.5394937511
85177	35.324470	-80.959715	35.091287	-80.695993	33.3421028467	34.0457284227
85178	35.153864	-80.973000	35.163464	-80.625166	26.4294175533	28.7797332961
85179	35.220579	-80.863584	35.209982	-80.871235	1.12950138242	4.06072629216
85180	35.472835	-80.936081	35.035307	-80.865712	40.0447401048	48.2983082198
