ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
87703	35.038928	-80.836827	35.022847	-80.850814	2.3 mi	5 mins	2.252	3.91666666667	2.252	3.91666666667
87704	35.421681	-80.885344	35.075550	-80.781845	36.5 mi	43 mins	29.651	42.85	29.651	42.85
87705	35.249617	-80.732620	35.073044	-81.050170	29.3 mi	42 mins	28.625	43.5666666667	28.625	43.5666666667
87706	35.083569	-81.046149	35.306824	-80.686897	36.1 mi	48 mins	33.724	50.5	33.724	50.5
87707	35.227134	-80.739173	35.235770	-80.719864	2.3 mi	6 mins	2.258	6.71666666667	2.258	6.71666666667
87708	35.038351	-80.839750	35.494978	-80.830733	40.1 mi	46 mins	39.416	43.95	39.416	43.95
87709	35.467355	-80.880001	35.085623	-80.890396	31.2 mi	35 mins	31.752	36.1666666667	31.752	36.1666666667
87710	35.020918	-80.821539	35.481896	-80.850417	38.8 mi	46 mins	38.809	45.5	38.809	45.5
87711	35.177057	-80.594471	35.409417	-80.954284	36.0 mi	47 mins	33.73	49.7333333333	33.73	49.7333333333
87712	35.482327	-80.892911	35.133083	-80.660447	33.7 mi	43 mins	34.443	41.0333333333	34.443	41.0333333333
87713	35.439054	-80.896365	35.042898	-80.807315	35.1 mi	39 mins	35.517	38.3666666667	35.517	38.3666666667
87714	35.226905	-80.897608	35.242153	-80.885489	2.3 mi	7 mins	1.915	6.21666666667	1.915	6.21666666667
87715	35.349491	-80.709179	35.084689	-81.029022	35.3 mi	42 mins	30.02	41.9333333333	30.02	41.9333333333
87716	35.060848	-80.847987	35.470204	-80.936327	38.6 mi	44 mins	38.609	47.6	38.609	47.6
87717	35.379696	-80.903360	35.023450	-80.834931	34.1 mi	39 mins	30.485	38.85	30.485	38.85
87718	35.308231	-80.714339	35.302222	-80.693219	2.3 mi	5 mins	2.298	6.81666666667	2.298	6.81666666667
87719	35.163071	-80.992022	35.498755	-80.842205	32.3 mi	36 mins	32.022	37.4666666667	32.022	37.4666666667
87720	35.428703	-80.881857	35.038373	-80.773827	36.7 mi	42 mins	36.622	42.05	36.622	42.05
87721	35.142789	-80.654101	35.473788	-80.802181	33.8 mi	41 mins	35.866	47.5	35.866	47.5
87722	35.448893	-80.872929	35.452917	-80.860374	3.2 mi	7 mins	3.198	7.75	3.198	7.75
87723	35.037168	-80.793058	35.406752	-80.894637	35.3 mi	41 mins	35.316	40.3833333333	35.316	40.3833333333
87724	35.051560	-80.803730	35.029878	-80.807623	2.5 mi	5 mins	1.953	4.43333333333	1.953	4.43333333333
87725	35.053840	-80.792319	35.457080	-80.887382	36.7 mi	42 mins	36.76	40.9333333333	36.76	40.9333333333
87726	35.336629	-80.961642	35.186225	-80.600379	34.2 mi	37 mins	26.3	35.1	26.3	35.1
87727	35.188492	-80.648468	35.066921	-81.048668	35.3 mi	43 mins	36.769	47.5833333333	36.769	47.5833333333
87728	35.176953	-80.663993	35.500482	-80.849365	32.2 mi	40 mins	32.175	35.7	32.175	35.7
87729	35.480484	-80.861033	35.030518	-80.798334	39.9 mi	47 mins	39.923	45.4166666667	39.923	45.4166666667
87730	35.068563	-80.743996	35.412170	-80.901263	31.3 mi	46 mins	31.644	42.15	31.644	42.15
87731	35.274513	-80.695015	35.095390	-81.033323	32.5 mi	38 mins	28.827	38.7666666667	28.827	38.7666666667
87732	35.423857	-80.843897	35.087962	-81.020968	31.2 mi	38 mins	29.799	35.8833333333	29.799	35.8833333333
87733	35.020277	-80.820738	35.481765	-80.855101	38.5 mi	44 mins	38.541	44.2333333333	38.541	44.2333333333
87734	35.475461	-80.857414	35.070792	-81.046896	36.5 mi	45 mins	38.124	47.4833333333	38.124	47.4833333333
87735	35.075243	-80.991553	35.067926	-81.002307	0.9 mi	3 mins	0.912	3.48333333333	0.912	3.48333333333
87736	35.101760	-80.748657	35.473496	-80.808688	34.2 mi	46 mins	34.408	45.9166666667	34.408	45.9166666667
87737	35.058646	-80.806488	35.422111	-80.874400	32.5 mi	38 mins	32.558	36.6166666667	32.558	36.6166666667
87738	35.137747	-80.710183	35.500660	-80.891919	30.5 mi	37 mins	30.553	37.7666666667	30.553	37.7666666667
87739	35.482327	-80.892911	35.102456	-80.789054	31.0 mi	42 mins	31.3	39.4833333333	31.3	39.4833333333
87740	35.073224	-80.799253	35.418140	-80.907556	36.2 mi	45 mins	30.4	42.2	30.4	42.2
87741	35.409417	-80.954284	35.194143	-80.626809	33.2 mi	46 mins	31.882	48.2666666667	31.882	48.2666666667
87742	35.438931	-80.899878	35.073693	-80.725111	32.6 mi	44 mins	32.82	42.7333333333	32.82	42.7333333333
87743	35.073852	-81.007068	35.308096	-80.729312	27.8 mi	36 mins	27.838	36.4666666667	27.838	36.4666666667
87744	35.252228	-80.868740	35.233109	-80.876259	1.8 mi	6 mins	1.809	6.6	1.809	6.6
87745	35.400018	-80.916741	35.192153	-80.585606	33.9 mi	41 mins	33.105	44.4166666667	33.105	44.4166666667
87746	35.423773	-80.871937	35.052604	-81.041028	33.2 mi	41 mins	33.28	48.6833333333	33.28	48.6833333333
87747	35.507511	-80.854937	35.110117	-81.003360	34.9 mi	38 mins	36.061	41.1833333333	36.061	41.1833333333
87748	35.293724	-80.688190	35.076439	-81.028623	31.8 mi	45 mins	30.175	48.8	30.175	48.8
87749	35.488625	-80.864743	35.172149	-80.663247	31.2 mi	39 mins	31.19	36.9	31.19	36.9
87750	35.383537	-80.913389	35.081106	-80.709335	30.1 mi	42 mins	28.525	40.2	28.525	40.2
87751	35.175277	-80.775217	35.187438	-80.789639	3.6 mi	10 mins	3.765	9.53333333333	3.765	9.53333333333
87752	35.113358	-80.967825	35.470419	-80.859938	32.1 mi	35 mins	31.194	35.5666666667	31.194	35.5666666667
87753	35.467905	-80.930002	35.165184	-80.717337	31.6 mi	39 mins	31.28	43.0166666667	31.28	43.0166666667
87754	35.235930	-80.824335	35.226201	-80.821440	1.2 mi	3 mins	0.95	3.2	0.95	3.2
87755	35.222850	-80.600197	35.471440	-80.896933	34.6 mi	40 mins	32.744	40.5333333333	32.744	40.5333333333
87756	35.050969	-80.813687	35.427665	-80.852786	32.4 mi	37 mins	32.495	36.4833333333	32.495	36.4833333333
87757	35.404897	-80.837859	35.032280	-80.814322	33.3 mi	38 mins	33.787	38.0666666667	33.787	38.0666666667
87758	35.103660	-81.027579	35.271403	-80.680629	32.2 mi	46 mins	30.697	47.1	30.697	47.1
87759	35.036042	-80.817879	35.454689	-80.890029	36.5 mi	42 mins	36.482	41.0166666667	36.482	41.0166666667
87760	35.327931	-80.695711	35.329643	-80.705364	1.2 mi	4 mins	1.183	3.7	1.183	3.7
87761	35.196941	-80.597211	35.141660	-80.974903	31.3 mi	36 mins	32.583	37.4833333333	32.583	37.4833333333
87762	35.079287	-80.737838	35.466545	-80.887312	33.4 mi	44 mins	33.768	42.15	33.768	42.15
87763	35.095682	-80.732411	35.482000	-80.853086	33.0 mi	44 mins	33.979	40.9333333333	33.979	40.9333333333
87764	35.206717	-80.630586	35.069469	-81.033995	34.6 mi	39 mins	35.991	42.5666666667	35.991	42.5666666667
87765	35.475006	-80.932153	35.172493	-80.660003	34.0 mi	43 mins	34.214	45.0833333333	34.214	45.0833333333
87766	35.108117	-80.775593	35.481909	-80.849393	29.8 mi	40 mins	29.83	36.4666666667	29.83	36.4666666667
87767	35.031680	-80.792602	35.381891	-80.918880	35.2 mi	41 mins	33.558	42.1166666667	33.558	42.1166666667
87768	35.041420	-80.798829	35.404758	-80.830962	34.2 mi	42 mins	33.944	40.4166666667	33.944	40.4166666667
87769	35.284282	-80.802856	35.293820	-80.803889	1.4 mi	3 mins	1.489	3.85	1.489	3.85
87770	35.093877	-80.804771	35.461809	-80.784325	36.9 mi	45 mins	36.956	45.1	36.956	45.1
87771	35.074950	-80.833111	35.469713	-80.829514	34.8 mi	42 mins	34.807	42.45	34.807	42.45
87772	35.106632	-80.789680	35.104714	-80.773469	2.5 mi	5 mins	2.399	6.88333333333	2.399	6.88333333333
87773	35.478989	-80.896732	35.108326	-80.748769	32.3 mi	41 mins	33.364	41.0	33.364	41.0
87774	35.085619	-80.912783	35.497820	-80.847307	33.6 mi	40 mins	33.439	38.3666666667	33.439	38.3666666667
87775	35.434599	-80.843766	35.026170	-80.860109	34.4 mi	40 mins	34.249	38.75	34.249	38.75
87776	35.048125	-80.773618	35.480926	-80.815166	42.4 mi	47 mins	36.784	48.05	36.784	48.05
87777	35.039995	-80.852643	35.406638	-80.864276	30.7 mi	36 mins	30.338	32.7	30.338	32.7
87778	35.052182	-80.849767	35.448829	-80.884700	34.5 mi	41 mins	32.373	35.7666666667	32.373	35.7666666667
87779	35.462756	-80.891620	35.100074	-80.967513	31.3 mi	36 mins	31.332	35.9333333333	31.332	35.9333333333
87780	35.396600	-80.883397	35.067559	-80.730943	30.4 mi	42 mins	30.569	41.2166666667	30.569	41.2166666667
87781	35.419456	-80.879300	35.064862	-81.017465	31.7 mi	38 mins	31.809	44.5	31.809	44.5
87782	35.235877	-80.662144	35.084821	-81.040030	32.4 mi	47 mins	31.782	49.5166666667	31.782	49.5166666667
87783	35.037847	-80.801057	35.044962	-80.808601	1.1 mi	4 mins	0.949	3.53333333333	0.949	3.53333333333
87784	35.490045	-80.891430	35.177734	-80.595454	36.8 mi	44 mins	35.869	45.8333333333	35.869	45.8333333333
87785	35.114600	-81.029175	35.425547	-80.792478	31.5 mi	38 mins	33.062	47.0666666667	33.062	47.0666666667
87786	35.473116	-80.829059	35.049864	-80.807218	37.8 mi	43 mins	36.697	43.8166666667	36.697	43.8166666667
87787	35.109240	-80.853265	35.506613	-80.852756	32.4 mi	41 mins	32.414	38.55	32.414	38.55
87788	35.099149	-81.029604	35.374329	-80.780433	31.4 mi	40 mins	31.28	41.5	31.28	41.5
87789	35.123712	-80.988841	35.195022	-80.626028	33.2 mi	40 mins	34.554	41.9333333333	34.554	41.9333333333
87790	35.106713	-80.886409	35.466178	-80.834060	31.4 mi	36 mins	29.718	35.75	29.718	35.75
87791	35.104561	-80.793216	35.469466	-80.784454	32.8 mi	46 mins	32.877	46.2833333333	32.877	46.2833333333
87792	35.476083	-80.866714	35.132902	-80.663291	33.9 mi	45 mins	34.687	42.15	34.687	42.15
87793	35.135597	-80.753018	35.482530	-80.886446	29.6 mi	36 mins	30.023	35.8833333333	30.023	35.8833333333
87794	35.188997	-80.864951	35.180461	-80.872755	1.1 mi	4 mins	1.103	4.06666666667	1.103	4.06666666667
87795	35.108410	-80.854637	35.481753	-80.859487	30.4 mi	37 mins	30.398	34.4833333333	30.398	34.4833333333
87796	35.069915	-80.884003	35.491686	-80.832180	36.2 mi	42 mins	35.662	39.25	35.662	39.25
87797	35.252999	-80.820580	35.258282	-80.814168	1.2 mi	3 mins	1.17	3.05	1.17	3.05
87798	35.485912	-80.894060	35.466189	-80.885561	2.0 mi	5 mins	1.971	5.41666666667	1.971	5.41666666667
87799	35.232908	-80.811071	35.224337	-80.831713	1.8 mi	4 mins	1.935	4.28333333333	1.935	4.28333333333
87800	35.150720	-80.706368	35.137722	-80.704631	1.5 mi	4 mins	1.484	5.21666666667	1.484	5.21666666667
87801	35.433955	-80.893735	35.061907	-80.737118	38.9 mi	44 mins	33.039	45.05	33.039	45.05
87802	35.082874	-80.993040	35.328884	-80.702162	30.3 mi	40 mins	27.603	37.3833333333	27.603	37.3833333333
87803	35.121082	-80.845354	35.120949	-80.857216	1.2 mi	4 mins	1.248	4.63333333333	1.248	4.63333333333
87804	35.137467	-80.683277	35.470313	-80.934479	34.4 mi	43 mins	34.85	45.0666666667	34.85	45.0666666667
87805	35.346358	-80.776334	35.336179	-80.772091	1.2 mi	3 mins	1.152	2.83333333333	1.152	2.83333333333
87806	35.196645	-80.575453	35.470305	-80.927260	39.9 mi	46 mins	38.01	52.7166666667	38.01	52.7166666667
87807	35.116439	-80.755243	35.503051	-80.863593	30.7 mi	38 mins	32.175	37.0666666667	32.175	37.0666666667
87808	35.441671	-80.857337	35.429682	-80.850638	2.0 mi	4 mins	1.968	4.36666666667	1.968	4.36666666667
87809	35.043925	-80.843333	35.491790	-80.826978	39.0 mi	44 mins	38.865	42.9166666667	38.865	42.9166666667
87810	35.147463	-80.888178	35.133696	-80.900872	2.6 mi	7 mins	2.88	7.1	2.88	7.1
87811	35.026597	-80.848484	35.459010	-80.785502	38.4 mi	43 mins	38.412	44.2166666667	38.412	44.2166666667
87812	35.246299	-80.894320	35.259990	-80.895713	1.2 mi	3 mins	1.172	3.25	1.172	3.25
87813	35.474439	-80.887129	35.109804	-80.803809	30.7 mi	41 mins	31.092	39.85	31.092	39.85
87814	35.063933	-80.763243	35.490104	-80.867414	38.6 mi	41 mins	32.534	39.4	32.534	39.4
87815	35.132952	-80.645922	35.415569	-80.923274	36.4 mi	46 mins	34.717	45.2166666667	34.717	45.2166666667
87816	35.094986	-81.030097	35.305546	-80.680678	32.8 mi	44 mins	29.996	39.8166666667	29.996	39.8166666667
87817	35.046069	-80.863900	35.483609	-80.849722	36.7 mi	43 mins	35.603	40.85	35.603	40.85
87818	35.474439	-80.862478	35.042320	-80.854147	35.3 mi	40 mins	36.763	39.95	36.763	39.95
87819	35.460052	-80.914683	35.134030	-80.700471	33.9 mi	45 mins	35.229	47.4	35.229	47.4
87820	35.180978	-80.883594	35.198110	-80.892836	3.1 mi	7 mins	3.006	6.01666666667	3.006	6.01666666667
87821	35.129926	-80.763559	35.481752	-80.852893	28.8 mi	38 mins	30.275	37.25	30.275	37.25
87822	35.091026	-81.044316	35.143344	-80.662594	31.0 mi	38 mins	30.999	40.2166666667	30.999	40.2166666667
87823	35.405783	-80.838221	35.084682	-81.046423	31.9 mi	39 mins	32.649	43.1666666667	32.649	43.1666666667
87824	35.053639	-80.801232	35.477669	-80.892649	37.4 mi	41 mins	37.455	40.7666666667	37.455	40.7666666667
87825	35.329122	-80.853753	35.346889	-80.865897	2.0 mi	5 mins	2.039	5.68333333333	2.039	5.68333333333
87826	35.466633	-80.858750	35.113231	-80.965960	31.9 mi	36 mins	29.445	36.65	29.445	36.65
87827	35.340922	-80.708355	35.134002	-81.011808	30.0 mi	33 mins	29.721	38.6	29.721	38.6
87828	35.104972	-81.020271	35.474136	-80.824817	35.5 mi	42 mins	35.692	45.7666666667	35.692	45.7666666667
87829	35.427866	-80.846954	35.040794	-80.852302	31.6 mi	36 mins	31.629	35.7833333333	31.629	35.7833333333
87830	35.454753	-80.926487	35.126117	-80.769942	33.2 mi	47 mins	32.873	49.05	32.873	49.05
87831	35.075584	-80.829309	35.462470	-80.810659	35.1 mi	41 mins	35.231	40.65	35.231	40.65
87832	35.085862	-80.824081	35.477045	-80.884480	34.1 mi	39 mins	34.112	37.3166666667	34.112	37.3166666667
87833	35.295903	-80.876135	35.287824	-80.893903	1.8 mi	4 mins	1.804	4.98333333333	1.804	4.98333333333
87834	35.425353	-80.877610	35.099932	-81.034355	31.2 mi	37 mins	32.884	38.75	32.884	38.75
87835	35.428334	-80.928686	35.025122	-80.856248	37.5 mi	42 mins	37.561	41.1166666667	37.561	41.1166666667
87836	35.152302	-80.959804	35.159448	-80.970648	1.0 mi	2 mins	0.953	1.8	0.953	1.8
87837	35.152830	-80.727784	35.498474	-80.844951	29.8 mi	36 mins	29.809	32.65	29.809	32.65
87838	35.467493	-80.814538	35.093170	-80.817744	37.9 mi	45 mins	36.792	44.2	36.792	44.2
87839	35.500667	-80.887108	35.123060	-80.965864	33.7 mi	37 mins	30.913	38.8833333333	30.913	38.8833333333
87840	35.472050	-80.858555	35.093364	-80.693959	33.6 mi	43 mins	35.324	41.7666666667	35.324	41.7666666667
87841	35.105456	-80.993602	35.502978	-80.863894	33.4 mi	35 mins	33.192	35.8	33.192	35.8
87842	35.031709	-80.836177	35.394929	-80.922319	34.3 mi	41 mins	31.984	40.85	31.984	40.85
87843	35.223302	-80.611130	35.214864	-80.988915	24.4 mi	37 mins	24.741	35.8166666667	24.741	35.8166666667
87844	35.068626	-81.006616	35.446338	-80.906862	34.9 mi	40 mins	34.913	41.95	34.913	41.95
87845	35.059289	-80.790099	35.475228	-80.801533	41.4 mi	46 mins	41.428	48.4666666667	41.428	48.4666666667
87846	35.079957	-80.846955	35.464153	-80.856899	32.0 mi	39 mins	31.771	37.65	31.771	37.65
87847	35.082688	-80.895286	35.480228	-80.909943	33.8 mi	40 mins	34.217	40.6833333333	34.217	40.6833333333
87848	35.080461	-80.888661	35.064880	-80.888900	1.8 mi	5 mins	1.818	5.26666666667	1.818	5.26666666667
87849	35.420759	-80.842023	35.027240	-80.852327	31.9 mi	36 mins	31.959	34.0166666667	31.959	34.0166666667
87850	35.091102	-81.016998	35.482343	-80.891584	34.6 mi	38 mins	34.412	38.4833333333	34.412	38.4833333333
87851	35.119078	-81.026473	35.254028	-80.643557	37.9 mi	41 mins	39.888	48.3833333333	39.888	48.3833333333
