ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
15001	35.246610	-80.843687	35.239332	-80.765759	6.1 mi	14 mins	999	999	6.539	12.15
15002	35.279748	-80.684347	35.080834	-80.893775	30.0 mi	30 mins	999	999	30.045	31.5
15003	35.288658	-80.952413	35.291117	-80.686086	19.1 mi	28 mins	999	999	20.57	32.25
15004	35.106213	-80.973639	35.291176	-80.928182	16.5 mi	23 mins	999	999	18.962	26.45
15005	35.198110	-80.892836	35.116399	-80.871486	8.0 mi	15 mins	999	999	7.564	13.2666666667
15006	35.207767	-80.907099	35.029878	-80.807623	18.2 mi	23 mins	999	999	18.197	22.15
15007	35.393911	-80.879942	35.301300	-80.878162	8.5 mi	14 mins	999	999	8.484	14.85
15008	35.022052	-80.813850	35.248815	-80.813734	22.7 mi	30 mins	999	999	23.102	30.5
15009	35.254133	-80.857514	35.200460	-80.714642	10.4 mi	16 mins	999	999	10.402	14.15
15010	35.122134	-80.869432	35.227928	-80.778265	10.8 mi	23 mins	999	999	10.769	19.1
15011	35.125257	-80.780183	35.303791	-80.678409	17.0 mi	31 mins	999	999	20.183	28.7666666667
15012	35.284590	-80.864965	35.446085	-80.884684	13.6 mi	18 mins	999	999	13.722	19.3166666667
15013	35.169891	-80.664858	35.085347	-80.750880	9.4 mi	19 mins	999	999	9.589	18.8
15014	35.137288	-80.892104	35.095447	-80.802087	11.3 mi	19 mins	999	999	10.158	17.95
15015	35.161922	-80.718009	35.204291	-80.927795	15.0 mi	22 mins	999	999	15.035	22.1166666667
15016	35.413805	-80.840803	35.250984	-80.672376	20.9 mi	30 mins	999	999	21.878	31.75
15017	35.224871	-80.828611	35.333056	-80.806253	12.4 mi	15 mins	999	999	12.362	14.1833333333
15018	35.230074	-80.711215	35.186637	-80.692028	5.2 mi	11 mins	999	999	5.173	9.85
15019	35.099193	-80.872443	35.299398	-80.698664	26.0 mi	33 mins	999	999	26.03	32.4833333333
15020	35.317564	-80.776275	35.316527	-80.790324	1.1 mi	4 mins	999	999	1.137	3.11666666667
15021	35.126182	-80.704916	35.248277	-80.888326	16.7 mi	24 mins	999	999	16.353	21.3666666667
15022	35.081997	-80.775939	35.091275	-81.016690	20.1 mi	27 mins	999	999	20.098	24.4833333333
15023	35.434619	-80.824944	35.088762	-80.910476	29.5 mi	37 mins	999	999	30.397	36.4666666667
15024	35.188661	-80.715763	35.096243	-80.713083	9.6 mi	21 mins	999	999	9.637	20.1
