ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
10270	35.339373	-80.949211	35.039342	-80.858655	25.7 mi	30 mins	25.65936466	30.115434037	25.764	29.55
10271	35.253986	-80.832207	35.167263	-80.842184	7.2 mi	16 mins	7.09605251597	16.6152605166	10.637	14.0333333333
10272	35.254749	-80.754954	35.210123	-80.722542	5.8 mi	12 mins	5.73639970196	10.9904387546	5.762	12.4166666667
10273	35.039914	-80.860447	35.334724	-80.966623	26.8 mi	31 mins	26.7624568265	31.046500679	25.538	30.5333333333
10274	35.154201	-80.707682	35.247053	-80.724159	8.7 mi	18 mins	8.419536766	17.2755593705	8.674	19.1
10275	35.305914	-80.925824	35.338921	-80.817017	10.0 mi	15 mins	10.3268980484	15.085206327	10.019	14.9666666667
10276	35.266424	-80.880033	35.204048	-80.682226	14.3 mi	22 mins	14.3751521997	22.1208490937	14.325	20.2166666667
10277	35.095028	-80.709667	35.152820	-80.764627	7.2 mi	14 mins	7.2048871031	15.1655317307	7.244	16.8666666667
10278	35.184601	-80.739211	35.402690	-80.869508	20.9 mi	25 mins	20.7813579862	26.5656188861	20.877	23.9833333333
10279	35.092955	-80.972045	35.283724	-80.860227	19.3 mi	25 mins	19.2147263651	27.9268238859	19.276	25.0333333333
10280	35.180049	-80.928132	35.159215	-80.762480	12.1 mi	25 mins	11.9670283438	25.1172981029	13.128	23.7833333333
10281	35.088883	-81.007612	35.137626	-80.824056	14.0 mi	25 mins	14.9759809357	25.516528947	16.459	26.2333333333
10282	35.139280	-80.745019	35.276186	-80.997396	23.1 mi	32 mins	22.9682705232	34.3915648058	23.148	35.3333333333
10283	35.271402	-80.687798	35.220727	-80.827060	11.2 mi	20 mins	11.5299104906	22.4052793686	13.425	21.8333333333
10284	35.258369	-80.926728	35.191668	-80.702390	15.9 mi	23 mins	15.8953821468	23.5078944387	15.893	21.6666666667
10285	35.338322	-80.812429	35.140708	-80.699971	18.7 mi	30 mins	18.4726604119	30.51439858	20.955	29.6
10286	35.034878	-80.831555	35.074180	-81.052554	20.8 mi	32 mins	21.3021447876	29.4303093772	21.442	33.85
