ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
15456	35.128483	-80.673218	35.492472	-80.833454	34.9 mi	41 mins	34.9042898569	41.3312236674	35.878	42.7
15457	35.145718	-81.013748	35.284958	-80.898831	18.7 mi	24 mins	18.2919432508	23.0606613948	19.77	29.2166666667
15458	35.116268	-80.798527	35.183375	-80.914265	9.8 mi	20 mins	9.84192685798	19.0866592561	9.895	18.5666666667
15459	35.145289	-80.948483	35.145638	-80.968811	1.5 mi	4 mins	1.51420350951	4.91801086374	1.503	5.31666666667
15460	35.407991	-80.864825	35.454565	-80.779939	8.8 mi	15 mins	8.75462946179	15.836068245	7.918	15.9833333333
15461	35.341264	-80.764232	35.338348	-80.706044	4.5 mi	8 mins	5.09700097314	7.42074568396	4.917	8.85
15462	35.156552	-80.928257	35.486426	-80.869053	26.1 mi	30 mins	26.0417135216	30.5815825112	26.112	28.7
15463	35.103035	-80.865784	35.116463	-80.693490	15.8 mi	19 mins	16.3216664459	19.4531354195	15.099	18.85
15464	35.202318	-80.857594	35.108304	-81.003112	13.5 mi	25 mins	16.0308697598	24.3124847993	13.46	22.7333333333
15465	35.222442	-80.595295	35.161125	-80.785736	13.8 mi	25 mins	13.7784889697	22.2520844119	13.822	21.45
15466	35.105222	-80.723527	35.261627	-80.871276	15.8 mi	26 mins	15.7307374894	25.0191654885	16.794	22.7666666667
15467	35.086775	-80.892477	35.251603	-80.838745	15.8 mi	20 mins	16.0902666083	21.4004956736	16.517	19.8166666667
15468	35.094074	-80.716270	35.088676	-81.014680	23.8 mi	34 mins	23.5579189573	32.5074014713	23.798	33.9333333333
15469	35.114503	-80.820884	35.499435	-80.852996	30.8 mi	41 mins	32.7016272854	41.0561189185	30.648	37.4666666667
15470	35.433625	-80.886245	35.284540	-80.794985	17.5 mi	20 mins	17.4404543647	19.9749307577	17.521	20.8666666667
15471	35.224871	-80.828611	35.339101	-80.852053	11.5 mi	14 mins	11.4604088528	14.8679954834	11.546	15.5166666667
15472	35.310270	-80.808236	35.324874	-80.836227	3.1 mi	7 mins	2.88508244614	6.58187246051	2.917	7.78333333333
15473	35.316548	-80.776642	35.235916	-80.746354	8.0 mi	12 mins	7.94441703812	13.0132901952	8.003	12.55
15474	35.288201	-80.799738	35.345868	-80.851505	8.8 mi	11 mins	8.93907698797	10.7450483464	8.811	11.3833333333
15475	35.126931	-80.849045	35.412388	-80.770772	27.0 mi	37 mins	26.6840657449	36.5036005563	27.013	39.85
15476	35.130465	-80.648365	35.289721	-80.966659	33.0 mi	33 mins	32.9690412741	31.9995984101	33.067	33.65
15477	35.169492	-80.756216	35.414243	-80.826967	22.1 mi	27 mins	21.7488562709	26.8139011707	22.199	26.9666666667
15478	35.142467	-80.854043	35.182200	-80.610142	25.2 mi	29 mins	25.194451175	29.0835865039	17.383	29.2666666667
15479	35.264551	-80.791536	35.092364	-80.995230	22.8 mi	30 mins	24.2875565132	30.0447351129	17.821	28.0166666667
15480	35.240981	-80.711455	35.041127	-80.811269	27.4 mi	33 mins	22.7643736292	34.3591529032	22.898	34.1333333333
15481	35.149411	-80.925212	35.208268	-80.605788	28.7 mi	31 mins	28.6035590832	30.2786352854	23.72	30.4333333333
15482	35.209230	-80.663914	35.482279	-80.792065	27.6 mi	34 mins	26.5757313601	30.6318357076	30.092	41.6333333333
15483	35.438656	-80.855726	35.357238	-80.791171	9.1 mi	15 mins	9.10669044586	16.3898078232	8.952	15.55
15484	35.242808	-80.862808	35.111022	-80.802911	11.2 mi	23 mins	14.9792705517	23.9442258879	12.112	21.75
15485	35.230642	-80.794467	35.375964	-80.901160	15.7 mi	25 mins	15.2931617808	23.7319761044	15.406	24.65
15486	35.192285	-80.759941	35.427342	-80.856389	20.2 mi	24 mins	20.019641827	24.1380288803	20.265	23.45
15487	35.143105	-80.927617	35.083702	-80.992945	6.2 mi	12 mins	6.15388765882	11.504901178	6.178	10.4833333333
15488	35.221703	-80.848629	35.402370	-80.778327	17.7 mi	23 mins	17.6415513806	22.538331854	19.253	31.2833333333
15489	35.167173	-80.776881	35.175492	-80.773611	0.8 mi	3 mins	1.1306197144	2.62026246812	1.145	2.9
15490	35.151554	-80.864973	35.302615	-80.788757	15.6 mi	23 mins	15.5852015086	23.221204726	15.641	22.0333333333
15491	35.067207	-80.773562	35.494941	-80.847545	34.3 mi	46 mins	40.9387519863	47.0046611837	33.841	42.05
15492	35.099302	-80.756258	35.286572	-80.686464	22.0 mi	28 mins	22.0354984401	28.5241696947	19.584	29.7333333333
15493	35.190570	-80.868956	35.111060	-80.817811	8.0 mi	18 mins	8.00998886095	16.7546230869	9.642	16.85
15494	35.292495	-80.831197	35.214735	-80.972272	11.9 mi	17 mins	11.9364925778	17.0205027938	11.959	19.8
15495	35.328672	-80.780668	35.496912	-80.834620	17.6 mi	23 mins	17.5479986917	23.7022851001	17.59	21.9166666667
15496	35.249020	-80.731978	35.038920	-80.861771	24.8 mi	36 mins	25.1610323824	36.2888940436	24.793	32.4
15497	35.231991	-80.907689	35.359715	-80.795722	15.9 mi	21 mins	15.9985600459	20.8982833324	15.789	23.1333333333
15498	35.306950	-80.755949	35.446411	-80.883797	16.9 mi	26 mins	14.4871187157	20.9750881554	14.561	20.0166666667
15499	35.176988	-80.874204	35.045985	-80.801788	15.2 mi	20 mins	15.1462871297	19.3452977858	12.772	17.9166666667
15500	35.098617	-80.964693	35.251603	-80.838745	16.9 mi	22 mins	16.7673428333	22.9198809136	16.784	21.3833333333
15501	35.343269	-80.890206	35.284498	-80.958100	7.7 mi	12 mins	7.71031244718	11.0026811228	7.732	12.8666666667
15502	35.358297	-80.745094	35.464565	-80.891092	16.5 mi	26 mins	18.6132627763	27.5934097591	18.773	27.05
15503	35.272659	-80.807741	35.172725	-80.663885	13.7 mi	26 mins	22.7425221564	25.9098379842	14.253	22.8666666667
15504	35.144530	-80.953927	35.080797	-80.892263	8.6 mi	13 mins	8.15733004577	11.9264211705	8.621	12.2666666667
15505	35.346654	-80.821983	35.091438	-80.851188	24.6 mi	33 mins	24.4771867687	32.6116317507	26.975	33.2
15506	35.192198	-80.948225	35.243485	-80.886332	6.7 mi	11 mins	6.57942144321	10.4289433491	6.681	10.85
15507	35.391448	-80.761933	35.336873	-80.809014	7.1 mi	13 mins	6.77697579746	13.0424279311	7.304	17.2333333333
15508	35.427637	-80.935409	35.369480	-80.806608	10.9 mi	18 mins	12.1690338215	18.1380325455	13.444	18.5
15509	35.279060	-80.682598	35.066194	-80.769876	22.6 mi	23 mins	21.559940575	20.7830783871	21.672	22.0333333333
15510	35.296548	-80.810076	35.230304	-80.854419	6.1 mi	12 mins	7.62735959302	12.0302707214	6.129	13.1833333333
15511	35.377213	-80.794698	35.274506	-80.989130	15.8 mi	19 mins	15.7644439041	18.767630483	15.701	21.65
15512	35.284840	-80.814952	35.310902	-80.729261	9.0 mi	13 mins	8.9586235125	13.4368271392	7.19	12.5166666667
15513	35.300033	-80.842563	35.445852	-80.879325	11.7 mi	16 mins	11.3633843781	15.0750454508	11.456	14.6833333333
15514	35.462082	-80.863894	35.310857	-80.747982	16.3 mi	24 mins	16.3918846551	24.7098051752	16.579	24.5166666667
15515	35.163845	-80.894478	35.240196	-80.974075	12.7 mi	13 mins	12.6485832192	12.5957704279	9.487	12.95
15516	35.215730	-80.757436	35.185952	-80.831829	8.0 mi	15 mins	8.00222692306	14.3810881462	7.011	12.3166666667
15517	35.285392	-80.739598	35.051625	-80.819822	31.0 mi	35 mins	30.9491212158	35.0990918961	25.238	35.4833333333
15518	35.341275	-80.771107	35.266249	-80.761163	8.1 mi	13 mins	8.28549190223	13.2063031293	7.476	12.9666666667
15519	35.240544	-80.841315	35.452595	-80.851672	17.5 mi	22 mins	17.4721141797	22.6962583042	17.509	22.8166666667
15520	35.486465	-80.880599	35.340252	-80.969033	18.4 mi	21 mins	18.2850993153	21.1432109188	18.359	21.8833333333
15521	35.147408	-80.919657	35.376785	-80.755864	25.7 mi	31 mins	25.5655074886	32.182278433	25.005	32.8166666667
15522	35.245939	-80.690909	35.159521	-80.980523	22.4 mi	34 mins	26.2070622617	33.486062135	24.764	35.6833333333
15523	35.116696	-80.982281	35.229924	-80.679519	25.7 mi	35 mins	25.6257675086	35.7355447394	24.112	34.8
15524	35.239916	-80.804211	35.127418	-80.996285	20.2 mi	28 mins	19.9209467701	27.6596406869	18.903	29.2166666667
15525	35.468850	-80.851669	35.178469	-80.737765	26.8 mi	33 mins	26.5656220341	33.7445234607	25.906	32.25
15526	35.186424	-80.844357	35.490926	-80.827646	26.2 mi	33 mins	25.2434298459	33.658707194	26.476	32.25
15527	35.185352	-80.860012	35.481688	-80.854364	24.3 mi	30 mins	24.2388635222	30.1097446585	24.355	28.2833333333
15528	35.372939	-80.756846	35.422042	-80.856567	10.9 mi	19 mins	10.8581764255	18.8982065141	11.042	22.0833333333
15529	35.136287	-80.748010	35.468404	-80.783518	32.0 mi	42 mins	31.8911923313	42.987588791	32.889	44.2666666667
15530	35.068281	-80.771734	35.503500	-80.857766	33.0 mi	41 mins	39.8872165214	41.784965194	32.988	38.2333333333
15531	35.231133	-80.806539	35.236035	-80.787380	1.7 mi	4 mins	1.68730729427	3.78645867164	1.669	4.68333333333
15532	35.259415	-80.832760	35.305546	-80.680678	13.5 mi	21 mins	12.5996213273	20.2247867436	12.529	18.8
15533	35.343438	-80.744234	35.429727	-80.855621	12.2 mi	23 mins	14.5349474524	22.6664973907	14.605	24.2333333333
15534	35.214208	-80.759245	35.103796	-80.724553	9.9 mi	21 mins	9.82328984754	19.7520649585	10.032	18.2
15535	35.465723	-80.888784	35.326017	-80.964503	18.5 mi	22 mins	16.685463057	20.7479296744	16.708	21.9166666667
15536	35.420284	-80.844333	35.229399	-80.590056	26.3 mi	35 mins	35.2313275422	37.9624717126	27.378	35.7166666667
15537	35.210497	-80.622322	35.244844	-80.682584	6.2 mi	12 mins	6.21068387604	10.6277071868	6.203	15.2666666667
15538	35.230308	-80.831898	35.267323	-80.853954	3.6 mi	6 mins	3.55579466552	5.84615049415	6.578	8.31666666667
15539	35.423134	-80.882916	35.406423	-80.903542	3.2 mi	7 mins	3.236678448	6.90995853407	3.227	8.73333333333
15540	35.238283	-80.806839	35.054019	-80.756131	16.3 mi	31 mins	25.78292804	32.0078227864	15.751	27.8833333333
15541	35.202566	-80.804543	35.165881	-80.652520	10.4 mi	18 mins	10.340794588	17.4845474196	10.526	15.95
15542	35.185541	-80.682259	35.133288	-80.880769	20.0 mi	30 mins	19.9775455421	28.3527007748	16.731	25.2166666667
15543	35.054072	-80.837885	35.328792	-80.697734	31.3 mi	32 mins	29.978979892	31.0414930973	30.074	33.5833333333
15544	35.247498	-80.750941	35.196334	-80.779796	6.5 mi	15 mins	5.53689381805	12.3206158762	6.656	11.3
15545	35.311170	-80.819736	35.491480	-80.829007	18.2 mi	24 mins	18.5772977038	24.2089974575	17.873	22.6833333333
15546	35.206912	-80.899021	35.167608	-80.658630	16.9 mi	27 mins	16.816899714	26.7116844155	16.869	23.9833333333
15547	35.232003	-80.716631	35.481896	-80.850417	24.9 mi	35 mins	28.7996669535	37.1733397279	24.97	34.4
15548	35.056686	-80.789845	35.135104	-80.716564	11.8 mi	17 mins	11.9087168488	15.6585125537	11.847	15.4666666667
15549	35.242783	-80.838513	35.222295	-80.722651	8.5 mi	18 mins	8.79842500433	17.3600903498	10.525	16.05
15550	35.270298	-80.813854	35.244725	-80.776305	3.4 mi	8 mins	3.83511222819	8.99135966843	4.746	9.08333333333
15551	35.198930	-80.752319	35.294620	-80.800926	8.8 mi	20 mins	9.16408307366	19.4704761821	9.065	16.6666666667
15552	35.338423	-80.774454	35.080290	-80.820947	33.7 mi	34 mins	33.7984031931	35.499338454	23.368	35.4333333333
15553	35.259415	-80.832760	35.343327	-80.706731	12.4 mi	16 mins	12.4880012986	15.9551459463	11.368	16.1333333333
15554	35.343323	-80.861772	35.239768	-80.867048	10.0 mi	14 mins	9.7148410292	13.3562522596	10.244	14.0
15555	35.328023	-80.932846	35.178027	-80.879710	15.1 mi	21 mins	15.8091430724	19.8177011793	15.066	18.9833333333
15556	35.427456	-80.848104	35.172478	-80.989382	24.7 mi	28 mins	25.1673674092	27.4816066589	25.166	30.4166666667
15557	35.104070	-80.778569	35.215762	-80.814931	9.0 mi	17 mins	8.92853114592	16.4885222063	9.007	14.9333333333
