ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
85817	35.465817	-80.923920	35.070224	-80.824804	38.4 mi	45 mins	39.6730468389	45.8001158982	38.389	46.5333333333
85818	35.116876	-80.753326	35.474681	-80.807045	32.2 mi	44 mins	32.9481158814	44.1356567007	33.559	43.65
85819	35.453045	-80.851594	35.035557	-80.866669	36.2 mi	43 mins	36.2125446448	43.5461298443	34.13	42.0833333333
85820	35.483794	-80.882988	35.078235	-80.731387	33.6 mi	44 mins	33.5506562991	44.1445086294	33.868	42.6
85821	35.446244	-80.818946	35.099137	-81.004110	32.4 mi	38 mins	32.4650862167	38.7621400355	31.485	38.0666666667
85822	35.365240	-80.827103	35.069286	-81.020258	27.6 mi	31 mins	28.016280499	32.0975174578	27.577	36.0166666667
85823	35.488768	-80.910227	35.041647	-80.809294	38.5 mi	43 mins	38.3817950531	43.2228094875	38.535	42.9333333333
85824	35.157978	-80.647659	35.134002	-81.011808	30.6 mi	34 mins	30.4997364336	32.2565501803	31.992	37.3333333333
85825	35.097367	-80.857212	35.478281	-80.861376	32.4 mi	36 mins	32.3204052552	37.0914379872	32.463	35.4833333333
85826	35.091621	-80.983296	35.331301	-80.738055	26.5 mi	32 mins	26.9179601349	32.8119750925	25.743	33.5666666667
85827	35.405470	-80.836527	35.019153	-80.852061	32.4 mi	38 mins	32.2795033228	38.6685461376	32.874	37.0166666667
85828	35.237902	-80.639526	35.129300	-80.991409	33.9 mi	39 mins	34.7894868262	38.3261206173	36.987	41.6833333333
85829	35.164572	-80.978341	35.499423	-80.825991	32.9 mi	36 mins	32.3868081762	36.112032386	32.138	37.4666666667
85830	35.138400	-80.882829	35.492295	-80.838794	29.7 mi	35 mins	29.465927434	34.85724442	30.632	33.55
85831	35.370096	-80.807903	35.086543	-81.020727	29.4 mi	36 mins	27.8900207657	32.2550457253	27.973	34.8666666667
85832	35.202656	-80.717850	35.181390	-80.712833	4.2 mi	11 mins	4.20930999956	9.8709434056	4.253	10.75
85833	35.402595	-80.909685	35.042961	-80.774772	36.8 mi	41 mins	36.7272396088	42.0480134567	36.868	41.95
85834	35.401838	-80.871234	35.052885	-80.837704	30.1 mi	34 mins	29.9117907995	33.1792958601	30.092	32.7666666667
85835	35.266112	-80.989228	35.120905	-80.674101	25.7 mi	35 mins	32.1492447669	33.9753409343	26.386	34.2666666667
85836	35.159044	-80.726515	35.480198	-80.893853	28.2 mi	33 mins	28.0599185475	33.919760294	28.139	32.2833333333
85837	35.344336	-80.711145	35.112764	-81.027592	32.4 mi	37 mins	32.6025542216	37.3894336983	30.772	46.0166666667
85838	35.494699	-80.877077	35.200294	-80.698938	28.9 mi	36 mins	28.7409191866	37.0857451986	28.889	36.05
85839	35.118854	-81.027771	35.229535	-80.685800	27.0 mi	43 mins	30.630149799	41.2726444844	28.972	45.2666666667
85840	35.475812	-80.802051	35.024775	-80.852216	40.8 mi	46 mins	39.9572841064	47.4616565806	42.074	47.6
85841	35.075659	-80.760548	35.454482	-80.852071	30.8 mi	42 mins	38.9572194554	44.4806337183	29.967	39.8333333333
85842	35.120964	-80.958382	35.470329	-80.859827	31.4 mi	34 mins	31.1450774215	34.500463132	30.459	35.7166666667
85843	35.037360	-80.803482	35.498087	-80.860458	38.9 mi	43 mins	38.7010775901	41.8325338376	38.909	41.6
85844	35.113676	-80.810571	35.452399	-80.882982	28.0 mi	39 mins	28.9484539032	39.7867780075	26.511	37.4166666667
85845	35.155592	-80.988812	35.183115	-80.608286	30.3 mi	32 mins	30.2468707392	31.0937839379	30.302	33.6833333333
85846	35.412783	-80.832754	35.081027	-80.983255	28.8 mi	35 mins	28.7334524377	34.6060694424	29.367	36.4666666667
85847	35.485984	-80.882369	35.134134	-80.938242	30.2 mi	31 mins	30.2460989679	31.6451362481	27.444	30.9333333333
85848	35.081814	-80.845408	35.451662	-80.770778	36.5 mi	45 mins	36.2090228893	45.1713395127	36.558	42.2
85849	35.472050	-80.858555	35.124141	-80.767792	29.0 mi	39 mins	31.1126318763	41.9413506422	30.347	39.4833333333
85850	35.393477	-80.886348	35.052121	-80.834769	31.7 mi	35 mins	31.6348054654	33.7336017529	31.951	36.2666666667
85851	35.044612	-80.841459	35.414243	-80.826967	31.5 mi	36 mins	31.350765446	36.5156098423	31.519	36.4833333333
85852	35.457832	-80.889783	35.167608	-80.658630	30.5 mi	39 mins	30.4955772371	39.818672034	30.575	37.05
85853	35.481080	-80.909401	35.227028	-80.631235	33.7 mi	41 mins	39.1761434133	42.7459774606	34.497	43.4833333333
85854	35.055286	-80.748995	35.053367	-80.744554	1.2 mi	4 mins	1.1730087378	3.91493841589	1.185	4.41666666667
85855	35.121145	-80.774573	35.466044	-80.856574	27.8 mi	38 mins	29.9892563014	41.1194159392	27.905	36.6833333333
85856	35.131913	-80.696228	35.420596	-80.908567	29.5 mi	39 mins	29.4312409764	40.3044378812	29.469	38.3
85857	35.404007	-80.874498	35.170532	-80.604216	30.1 mi	35 mins	35.6139088498	37.0557713598	29.291	36.4833333333
85858	35.215762	-80.814931	35.215696	-80.803543	0.9 mi	3 mins	0.940877766074	3.03916659364	0.936	3.65
85859	35.134362	-80.741797	35.496650	-80.852820	30.8 mi	38 mins	30.7882080068	38.4892948294	30.893	37.15
85860	35.046844	-80.863146	35.485945	-80.831783	39.8 mi	47 mins	38.4123945483	48.3389111268	38.406	44.9666666667
85861	35.287855	-80.961956	35.166344	-80.605086	33.1 mi	36 mins	36.5735078462	37.1053799304	27.011	35.6833333333
85862	35.248645	-80.738868	35.063162	-81.026357	28.0 mi	39 mins	29.4763646869	38.9142125282	28.116	41.4166666667
85863	35.058193	-80.821297	35.432984	-80.792643	34.8 mi	43 mins	35.3466837264	41.0061845312	35.742	43.5666666667
85864	35.420150	-80.832620	35.109928	-80.993645	29.5 mi	35 mins	29.3126462001	35.1810011455	29.772	39.6
85865	35.103745	-80.771378	35.106344	-80.786149	1.3 mi	3 mins	1.26274829251	2.9614900256	1.289	3.45
85866	35.345652	-80.701958	35.110379	-80.993651	33.1 mi	38 mins	33.2037698721	37.6543068661	28.328	40.9166666667
85867	35.165361	-80.657584	35.145630	-81.037212	33.4 mi	39 mins	33.4417426102	39.2116027166	34.582	44.6
85868	35.269628	-80.682576	35.123293	-80.997529	31.2 mi	39 mins	30.558252401	39.8556902257	30.851	43.0833333333
85869	35.113410	-80.967640	35.490144	-80.883308	33.5 mi	36 mins	33.4233008528	37.3095729174	30.481	35.5333333333
85870	35.168037	-80.795147	35.516837	-80.852727	30.2 mi	37 mins	30.103851822	36.6443862613	30.299	36.0
85871	35.401560	-80.913352	35.202008	-80.595555	34.2 mi	43 mins	37.0912236414	41.6972036012	32.346	42.3166666667
85872	35.111423	-80.718126	35.472882	-80.896185	32.0 mi	42 mins	31.8475291122	41.5137427839	32.951	39.6166666667
85873	35.037300	-80.859652	35.025953	-80.848168	1.7 mi	5 mins	1.60595011761	3.68912368312	1.605	4.36666666667
85874	35.101596	-80.856516	35.506900	-80.851032	34.7 mi	39 mins	34.4334917917	39.0508522884	32.487	38.1
85875	35.113231	-80.965960	35.159826	-80.610587	30.5 mi	35 mins	29.7983048917	33.5623837728	29.859	34.5333333333
85876	35.153482	-80.642798	35.497816	-80.861741	33.7 mi	44 mins	33.5880469447	42.4204043097	33.762	40.0666666667
85877	35.138184	-80.950717	35.466641	-80.864116	29.5 mi	32 mins	29.2735783054	32.0996453486	27.442	34.0333333333
85878	35.057848	-80.824239	35.393558	-80.772306	32.3 mi	38 mins	32.2130850655	38.3941289654	32.312	40.1333333333
85879	35.039851	-80.807815	35.486108	-80.849486	38.2 mi	44 mins	38.2824779316	43.6644712903	38.135	41.75
85880	35.067996	-80.770845	35.442476	-80.857255	28.8 mi	38 mins	35.7231446676	38.4983586537	29.375	36.7833333333
85881	35.171429	-80.667438	35.088676	-81.014680	31.2 mi	39 mins	29.1127277096	36.7915084762	29.47	37.0333333333
85882	35.108206	-80.750752	35.485121	-80.833474	35.4 mi	48 mins	35.6578106027	47.9908206986	35.581	45.4166666667
85883	35.036463	-80.776416	35.396262	-80.871090	35.6 mi	40 mins	35.6373303098	39.8587133825	29.786	38.9333333333
85884	35.384032	-80.871917	35.039061	-80.808261	33.5 mi	37 mins	33.4169585981	35.9607048832	33.643	38.15
85885	35.208025	-80.654928	35.066420	-81.037078	36.8 mi	44 mins	38.3023661733	43.7197895605	31.022	47.0166666667
85886	35.178920	-80.678345	35.096989	-81.032240	32.5 mi	41 mins	30.4568013389	39.4189401581	27.107	37.2666666667
85887	35.121190	-80.829093	35.479524	-80.818482	30.5 mi	41 mins	31.6754444499	41.7943528676	30.519	38.8333333333
85888	35.041595	-80.873066	35.342883	-80.702252	33.7 mi	35 mins	33.4876062074	33.6289173157	33.729	36.75
85889	35.179342	-80.648494	35.452303	-80.879705	33.1 mi	39 mins	29.1282462554	39.4869365146	29.238	36.2333333333
85890	35.340746	-80.967181	35.018361	-80.822970	28.7 mi	34 mins	28.5971536051	33.1118778459	28.701	34.8166666667
85891	35.039792	-80.805236	35.391777	-80.875115	34.0 mi	38 mins	33.9943767187	36.211535747	33.275	36.7833333333
85892	35.103104	-80.798120	35.096646	-80.790782	3.9 mi	9 mins	3.8903280013	8.77673965305	1.664	5.46666666667
85893	35.273534	-80.690374	35.103928	-80.994246	31.3 mi	39 mins	30.6762222673	39.9610225477	27.913	41.7
85894	35.103292	-80.745700	35.107585	-80.761152	1.9 mi	6 mins	1.95434445804	5.1210563268	2.705	6.86666666667
85895	35.097068	-80.729653	35.384119	-80.910517	28.5 mi	43 mins	26.8780653608	41.0281228928	27.967	41.0833333333
85896	35.429487	-80.825106	35.036390	-80.854322	33.4 mi	40 mins	33.9180960292	43.0502329556	34.411	42.45
85897	35.246710	-80.752511	35.229885	-80.766929	2.0 mi	6 mins	1.95007592599	5.31212731543	1.996	5.75
85898	35.134218	-80.660460	35.074962	-81.044106	29.3 mi	36 mins	30.7269908085	34.1433850858	30.746	39.45
85899	35.027255	-80.849299	35.499435	-80.852996	38.5 mi	42 mins	38.3299921815	42.742803353	38.487	40.8333333333
85900	35.191640	-80.835177	35.177085	-80.837601	1.3 mi	3 mins	1.3829337604	2.98587164764	1.289	3.63333333333
85901	35.470287	-80.852612	35.037295	-80.804420	37.6 mi	42 mins	36.8233407146	42.862864719	36.66	40.95
85902	35.472278	-80.784486	35.073174	-81.032058	38.6 mi	47 mins	38.6603231769	47.071160404	38.398	51.8666666667
85903	35.095756	-80.744854	35.438226	-80.820433	32.5 mi	46 mins	31.6787431875	45.3867528092	32.633	43.4833333333
85904	35.444680	-80.859093	35.117524	-80.672713	30.6 mi	38 mins	30.2959020128	39.2846546262	30.692	38.15
85905	35.274355	-80.873583	35.288732	-80.884465	1.5 mi	3 mins	1.50949041641	3.84919058161	1.541	4.03333333333
85906	35.355268	-80.814090	35.049995	-81.043076	31.0 mi	38 mins	30.931589696	38.155891065	31.113	45.9833333333
85907	35.156580	-80.719071	35.500568	-80.843577	30.8 mi	38 mins	30.909551272	39.2372307296	30.43	35.8666666667
85908	35.162621	-80.644544	35.495642	-80.853000	34.3 mi	42 mins	34.1579434306	43.6779351061	33.854	39.5
85909	35.101805	-80.963525	35.457643	-80.811354	32.5 mi	37 mins	32.3884018002	38.3753445841	32.572	37.2833333333
85910	35.071887	-80.832315	35.449069	-80.886621	33.1 mi	39 mins	32.5216607912	38.105118142	32.705	38.1
85911	35.121811	-80.933730	35.213106	-80.605568	29.5 mi	31 mins	28.0920491639	30.1434630385	29.696	31.4666666667
