ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
10738	35.166229	-80.765466	35.139762	-80.942059	13.2 mi	27 mins	13.208	22.5666666667	13.208	22.5666666667
10739	35.471512	-80.799247	35.312270	-80.752872	18.6 mi	25 mins	19.453	30.95	19.453	30.95
10740	35.417263	-80.877423	35.427321	-80.849703	2.6 mi	6 mins	2.685	8.8	2.685	8.8
10741	35.436031	-80.902414	35.064167	-81.019394	34.4 mi	41 mins	34.479	46.35	34.479	46.35
10742	35.208617	-80.863633	35.337356	-80.737737	13.8 mi	17 mins	14.033	17.25	14.033	17.25
10743	35.112080	-80.743497	35.311998	-80.885763	20.9 mi	31 mins	22.564	30.25	22.564	30.25
10744	35.107837	-80.776650	35.344781	-80.852256	19.2 mi	28 mins	19.196	24.7333333333	19.196	24.7333333333
10745	35.215645	-80.712664	35.236809	-80.787664	5.3 mi	11 mins	7.106	13.6	7.106	13.6
10746	35.421292	-80.857461	35.144023	-80.839443	23.6 mi	31 mins	23.524	28.95	23.524	28.95
10747	35.120257	-80.675211	35.246682	-80.685680	15.7 mi	19 mins	14.445	24.3166666667	14.445	24.3166666667
10748	35.233423	-80.895622	35.053710	-80.878630	16.2 mi	23 mins	16.072	21.2166666667	16.072	21.2166666667
10749	35.224294	-80.891100	35.136387	-80.704473	14.3 mi	22 mins	14.331	20.05	14.331	20.05
10750	35.496889	-80.873114	35.179058	-80.776890	25.9 mi	31 mins	25.97	30.0166666667	25.97	30.0166666667
10751	35.068889	-80.831131	35.334055	-80.897405	27.2 mi	32 mins	26.063	34.0666666667	26.063	34.0666666667
10752	35.315660	-80.695506	35.321133	-80.907269	16.3 mi	24 mins	16.026	23.3333333333	16.026	23.3333333333
10753	35.355788	-80.814046	35.217552	-80.698927	15.4 mi	25 mins	17.705	28.3833333333	17.705	28.3833333333
10754	35.128332	-80.900943	35.127741	-80.749749	13.1 mi	24 mins	15.495	23.35	15.495	23.35
10755	35.169937	-80.748820	35.162021	-80.717605	2.3 mi	5 mins	2.315	5.65	2.315	5.65
10756	35.139639	-80.750649	35.265136	-80.735617	11.2 mi	20 mins	11.44	19.4833333333	11.44	19.4833333333
10757	35.481513	-80.879403	35.295538	-80.779971	21.1 mi	22 mins	21.129	22.4166666667	21.129	22.4166666667
10758	35.317408	-80.771599	35.267536	-80.756775	6.3 mi	11 mins	4.83	9.26666666667	4.83	9.26666666667
10759	35.280286	-80.957357	35.276323	-80.727784	16.2 mi	23 mins	16.407	25.1	16.407	25.1
10760	35.068563	-80.743996	35.305170	-80.719807	25.0 mi	31 mins	28.373	34.25	28.373	34.25
10761	35.219820	-80.818811	35.243553	-80.681580	9.7 mi	19 mins	10.129	19.75	10.129	19.75
10762	35.146729	-81.005236	35.385380	-80.787579	26.5 mi	32 mins	27.071	34.65	27.071	34.65
10763	35.211531	-80.899371	35.153916	-81.002135	8.7 mi	15 mins	8.666	17.2166666667	8.666	17.2166666667
10764	35.075654	-80.831286	35.459173	-80.888605	33.3 mi	39 mins	33.363	39.3	33.363	39.3
10765	35.220271	-80.810840	35.156376	-80.979979	13.4 mi	22 mins	15.48	22.5833333333	15.48	22.5833333333
10766	35.470212	-80.930439	35.344497	-80.698526	24.4 mi	34 mins	24.337	34.7333333333	24.337	34.7333333333
10767	35.089251	-80.807490	35.149730	-80.731733	8.1 mi	18 mins	10.101	16.2333333333	10.101	16.2333333333
10768	35.405957	-80.936706	35.121825	-80.681646	31.2 mi	42 mins	28.392	41.3	28.392	41.3
10769	35.492980	-80.855044	35.037564	-80.863572	37.7 mi	44 mins	37.771	40.6333333333	37.771	40.6333333333
10770	35.053840	-80.792319	35.501290	-80.854202	39.5 mi	43 mins	39.461	42.5333333333	39.461	42.5333333333
10771	35.143839	-80.889363	35.068107	-81.023017	11.7 mi	19 mins	13.236	24.3166666667	13.236	24.3166666667
10772	35.299653	-80.808937	35.221785	-80.853341	7.6 mi	12 mins	7.195	13.0666666667	7.195	13.0666666667
10773	35.066266	-80.797756	35.310012	-80.787492	27.1 mi	35 mins	22.021	33.6666666667	22.021	33.6666666667
10774	35.426624	-80.848435	35.376889	-80.745161	10.7 mi	19 mins	10.721	21.7666666667	10.721	21.7666666667
10775	35.249706	-80.772741	35.218639	-80.861678	6.6 mi	15 mins	6.773	11.6	6.773	11.6
10776	35.090130	-80.751455	35.311809	-80.883195	21.2 mi	34 mins	21.262	32.3833333333	21.262	32.3833333333
10777	35.183741	-80.748507	35.328884	-80.702162	13.2 mi	23 mins	14.728	22.5666666667	14.728	22.5666666667
10778	35.407991	-80.864825	35.303681	-80.770642	11.2 mi	17 mins	11.222	16.9166666667	11.222	16.9166666667
10779	35.153211	-80.991894	35.439135	-80.821113	29.4 mi	33 mins	27.88	35.8333333333	27.88	35.8333333333
10780	35.485852	-80.897161	35.324043	-80.734910	20.1 mi	26 mins	19.847	27.0333333333	19.847	27.0333333333
10781	35.261391	-80.846194	35.105239	-80.750898	15.5 mi	24 mins	16.483	24.1	16.483	24.1
