ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
82501	35.345947	-80.867830	35.066276	-81.016000	26.3 mi	32 mins	25.874	35.5333333333	25.874	35.5333333333
82502	35.469894	-80.921272	35.151455	-80.756035	30.0 mi	37 mins	30.291	40.8166666667	30.291	40.8166666667
82503	35.071370	-80.834820	35.412174	-80.908104	32.1 mi	38 mins	32.053	36.6166666667	32.053	36.6166666667
82504	35.446033	-80.879616	35.040638	-80.809119	34.4 mi	38 mins	34.355	37.0	34.355	37.0
82505	35.285683	-80.731551	35.084673	-80.987835	25.9 mi	31 mins	24.863	33.0	24.863	33.0
82506	35.093152	-80.776467	35.395291	-80.880700	26.0 mi	35 mins	26.785	33.75	26.785	33.75
82507	35.401376	-80.886729	35.035593	-80.860214	32.3 mi	37 mins	30.97	35.8833333333	30.97	35.8833333333
82508	35.110997	-80.775283	35.427822	-80.854314	25.1 mi	36 mins	25.089	32.75	25.089	32.75
82509	35.160154	-80.836718	35.146135	-80.840566	2.1 mi	7 mins	2.528	6.31666666667	2.528	6.31666666667
82510	35.449799	-80.883070	35.017556	-80.825916	37.0 mi	45 mins	35.768	43.3333333333	35.768	43.3333333333
82511	35.153450	-80.727225	35.430892	-80.898602	27.2 mi	34 mins	27.006	31.6166666667	27.006	31.6166666667
82512	35.129048	-80.770108	35.461746	-80.814386	28.9 mi	39 mins	30.255	38.3833333333	30.255	38.3833333333
82513	35.081243	-80.896445	35.467049	-80.862095	30.9 mi	37 mins	31.589	36.95	31.589	36.95
82514	35.469010	-80.921403	35.082894	-80.825240	37.3 mi	44 mins	37.3	46.2666666667	37.3	46.2666666667
82515	35.165027	-80.850267	35.485313	-80.886228	24.5 mi	30 mins	26.208	28.5833333333	26.208	28.5833333333
82516	35.309122	-80.681272	35.088538	-80.996170	31.9 mi	43 mins	29.35	41.5333333333	29.35	41.5333333333
82517	35.308134	-80.816441	35.306540	-80.794274	2.3 mi	5 mins	2.4	5.3	2.4	5.3
82518	35.028009	-80.808294	35.357299	-80.752936	32.6 mi	36 mins	33.368	38.8166666667	33.368	38.8166666667
82519	35.487616	-80.864209	35.029741	-80.807265	38.1 mi	43 mins	38.074	40.8	38.074	40.8
82520	35.386339	-80.777321	35.044375	-80.809390	33.2 mi	39 mins	33.201	41.1333333333	33.201	41.1333333333
82521	35.373361	-80.765254	35.036089	-80.773628	31.9 mi	33 mins	34.644	41.2166666667	34.644	41.2166666667
82522	35.218733	-80.983115	35.506958	-80.850402	28.1 mi	31 mins	28.322	34.5666666667	28.322	34.5666666667
82523	35.101364	-81.025789	35.473492	-80.852778	35.4 mi	41 mins	36.012	41.1833333333	36.012	41.1833333333
82524	35.036108	-80.819444	35.343989	-80.725864	31.2 mi	34 mins	31.196	36.3333333333	31.196	36.3333333333
82525	35.483794	-80.882988	35.193592	-80.683032	29.2 mi	36 mins	29.357	34.4	29.357	34.4
82526	35.169220	-80.805754	35.501137	-80.846045	26.4 mi	34 mins	26.14	29.0166666667	26.14	29.0166666667
82527	35.440780	-80.844524	35.153007	-80.689577	29.5 mi	37 mins	28.405	37.0833333333	28.405	37.0833333333
82528	35.017556	-80.825916	35.397814	-80.870552	33.1 mi	39 mins	33.664	40.5833333333	33.664	40.5833333333
82529	35.182196	-80.634429	35.467769	-80.879743	33.6 mi	40 mins	31.725	41.1	31.725	41.1
82530	35.379824	-80.772178	35.072368	-80.862945	31.9 mi	40 mins	31.893	43.3333333333	31.893	43.3333333333
82531	35.365911	-80.783230	35.071938	-81.023703	31.2 mi	39 mins	32.628	45.6166666667	32.628	45.6166666667
82532	35.360792	-80.801577	35.355176	-80.820908	2.8 mi	5 mins	2.837	6.6	2.837	6.6
82533	35.040596	-80.799027	35.334653	-80.967509	29.5 mi	34 mins	29.337	34.8833333333	29.337	34.8833333333
82534	35.178264	-80.664169	35.451239	-80.852948	29.5 mi	39 mins	29.514	36.2166666667	29.514	36.2166666667
82535	35.245939	-80.690909	35.120362	-80.984717	26.9 mi	37 mins	26.392	37.8833333333	26.392	37.8833333333
82536	35.057384	-80.759504	35.475272	-80.802772	43.4 mi	49 mins	37.225	49.2333333333	37.225	49.2333333333
82537	35.460721	-80.808219	35.145810	-80.866380	28.9 mi	38 mins	27.088	33.8	27.088	33.8
82538	35.433422	-80.935987	35.038360	-80.831346	37.4 mi	44 mins	37.819	43.1833333333	37.819	43.1833333333
82539	35.433421	-80.825985	35.104534	-80.730250	29.9 mi	41 mins	29.949	40.2666666667	29.949	40.2666666667
82540	35.326692	-80.696620	35.150525	-80.979367	27.2 mi	35 mins	26.904	34.2	26.904	34.2
82541	35.125094	-80.991708	35.108542	-80.984183	2.4 mi	6 mins	2.469	6.88333333333	2.469	6.88333333333
82542	35.438931	-80.899878	35.117853	-80.791121	26.9 mi	37 mins	27.22	35.2166666667	27.22	35.2166666667
82543	35.109710	-81.020030	35.405312	-80.804654	29.7 mi	35 mins	30.337	42.2666666667	30.337	42.2666666667
82544	35.490267	-80.896161	35.141156	-81.004832	31.4 mi	34 mins	32.414	38.8833333333	32.414	38.8833333333
82545	35.323258	-80.967164	35.087698	-80.706784	34.6 mi	38 mins	26.562	36.75	26.562	36.75
82546	35.191130	-80.702981	35.088149	-81.031734	25.5 mi	39 mins	25.536	34.1	25.536	34.1
82547	35.072059	-80.754580	35.065240	-80.763167	1.2 mi	4 mins	1.197	4.75	1.197	4.75
82548	35.265267	-80.852842	35.256004	-80.837364	1.6 mi	5 mins	1.681	4.9	1.681	4.9
82549	35.323404	-80.696630	35.333713	-80.706193	1.8 mi	4 mins	1.68	5.28333333333	1.68	5.28333333333
82550	35.031726	-80.817806	35.480573	-80.853338	38.0 mi	44 mins	38.115	43.0	38.115	43.0
82551	35.057426	-80.866137	35.464590	-80.806608	37.6 mi	44 mins	36.451	43.3833333333	36.451	43.3833333333
82552	35.087554	-80.999534	35.495977	-80.862898	35.6 mi	40 mins	35.408	40.9833333333	35.408	40.9833333333
82553	35.104260	-80.989069	35.305042	-80.717287	26.1 mi	34 mins	24.486	32.0333333333	24.486	32.0333333333
82554	35.145208	-80.748646	35.452150	-80.853823	27.4 mi	35 mins	27.474	35.2166666667	27.474	35.2166666667
82555	35.132495	-80.940482	35.497237	-80.852830	31.6 mi	34 mins	29.455	32.7	29.455	32.7
82556	35.157180	-80.820681	35.146760	-80.839165	2.8 mi	8 mins	2.392	6.33333333333	2.392	6.33333333333
82557	35.459601	-80.864595	35.110396	-80.998788	31.6 mi	35 mins	31.632	41.2	31.632	41.2
82558	35.144389	-80.818950	35.498790	-80.861375	27.2 mi	34 mins	27.266	32.05	27.266	32.05
82559	35.098737	-80.967957	35.427492	-80.847711	28.6 mi	34 mins	28.633	34.0666666667	28.633	34.0666666667
82560	35.483636	-80.866581	35.105239	-80.801528	29.9 mi	40 mins	30.257	38.3166666667	30.257	38.3166666667
82561	35.357427	-80.745752	35.026788	-80.817715	34.5 mi	40 mins	33.343	41.9666666667	33.343	41.9666666667
82562	35.409388	-80.815992	35.400938	-80.835553	2.9 mi	7 mins	3.28	8.16666666667	3.28	8.16666666667
82563	35.169502	-80.661298	35.106798	-81.003382	31.2 mi	38 mins	28.898	37.1166666667	28.898	37.1166666667
82564	35.039829	-80.796661	35.466633	-80.858750	38.0 mi	44 mins	39.261	45.4	39.261	45.4
82565	35.141489	-80.746043	35.483950	-80.849663	29.2 mi	38 mins	29.329	36.6666666667	29.329	36.6666666667
82566	35.146220	-80.694557	35.064862	-81.017465	29.4 mi	37 mins	29.677	42.15	29.677	42.15
82567	35.123793	-80.772949	35.497609	-80.860510	29.6 mi	38 mins	29.721	35.1166666667	29.721	35.1166666667
82568	35.050275	-80.808165	35.467118	-80.878597	36.0 mi	41 mins	36.054	41.6333333333	36.054	41.6333333333
82569	35.502896	-80.885610	35.206748	-80.759198	25.8 mi	30 mins	25.843	31.95	25.843	31.95
82570	35.433628	-80.882482	35.103731	-80.842591	33.5 mi	40 mins	32.976	39.6333333333	32.976	39.6333333333
