ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
34210	35.403395	-80.845309	35.495549	-80.849118	9.13517015046	13.6495908059
34211	35.170856	-80.867311	35.056967	-80.877743	12.0030779142	17.8220462442
34212	35.143043	-80.792302	35.089189	-80.989343	16.2837575887	27.0089268887
34213	35.156859	-80.781567	35.317230	-80.871335	14.7283549085	24.7175679789
34214	35.498647	-80.881654	35.459577	-80.860712	3.82887715335	8.78650375339
34215	35.324712	-80.891919	35.179631	-80.790410	14.4491563907	21.6540515118
34216	35.210152	-80.853183	35.209229	-80.919480	4.18753050789	8.96073820077
34217	35.096646	-80.790782	35.096334	-80.808034	2.77238475512	5.96085702038
34218	35.179426	-80.860289	35.384737	-80.840426	17.537660942	22.4812679729
34219	35.141901	-80.797958	35.331705	-80.707157	17.9718922513	32.2119249232
34220	35.167033	-80.883974	35.459484	-80.882197	23.8296924511	27.4823433372
34221	35.384944	-80.911472	35.364566	-80.748404	12.371096123	21.4685392505
34222	35.164268	-80.884296	35.233573	-80.994611	13.6021593126	16.442432582
34223	35.219395	-80.800149	35.187694	-80.702745	6.3384947731	12.6210270564
34224	35.317008	-80.909496	35.132105	-80.933053	17.6241016196	20.8540019196
34225	35.298183	-80.894239	35.083674	-80.978947	20.1844768131	25.9092542882
34226	35.043778	-80.865626	35.181710	-80.895155	12.2659047236	17.1280750664
34227	35.218817	-80.814107	35.197597	-80.941391	9.41073063881	15.1206526912
34228	35.261261	-80.837056	35.361980	-80.792965	11.9475975696	14.5023671579
34229	35.135161	-80.747399	35.235204	-80.659547	11.6854272297	21.1515301455
34230	35.238602	-80.785932	35.184493	-80.833560	6.70292921607	15.0598063729
34231	35.261798	-80.862097	35.095905	-80.989861	18.4146842856	26.4575574217
34232	35.246941	-80.772127	35.376151	-80.779346	13.1124790827	22.5080657757
34233	35.489024	-80.881730	35.173345	-80.840388	24.2380318371	31.094700043
