ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
52491	35.028337	-83.707817	36.249369	-76.999361	462 mi	7 hours 10 mins	484.163668524	459.294873936	455.305	475.483333333
52492	36.195874	-75.757419	35.018509	-83.855684	564 mi	8 hours 53 mins	584.904491428	578.213820543	560.978	574.616666667
52493	35.047967	-83.123880	36.082881	-76.426052	459 mi	7 hours 38 mins	480.329880373	473.936250208	447.8589	492.383333333
52494	35.467973	-76.552103	35.141476	-83.371562	473 mi	7 hours 36 mins	485.362925566	472.778983858	473.3391	503.55
52495	35.088503	-83.399848	35.797440	-76.397810	471 mi	7 hours 19 mins	469.080016829	449.242899439	460.1329	481.183333333
52496	36.455658	-76.026059	35.425989	-83.423181	491 mi	7 hours 33 mins	500.663063654	479.453834468	488.507	490.0
52497	35.349661	-75.508399	35.366715	-82.396990	484 mi	7 hours 50 mins	508.146170669	485.052424393	495.624	503.716666667
52498	35.324509	-83.261402	35.490986	-76.035200	476 mi	7 hours 22 mins	485.99869618	458.314482689	475.893	490.216666667
52499	36.211721	-76.711178	35.041755	-83.638075	486 mi	7 hours 26 mins	488.927957007	466.482381396	483.651	487.916666667
52500	35.366199	-75.503797	35.300613	-83.108502	534 mi	8 hours 27 mins	538.483066212	521.267601025	531.9461	543.866666667
