ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
63165	34.774851	-77.150670	35.904990	-76.319970	124 mi	2 hours 10 mins	136.476172278	146.971348414	124.016	147.666666667
63166	35.498137	-80.737473	35.236950	-82.205148	106 mi	1 hour 51 mins	122.196674592	119.083994936	106.8	123.316666667
63167	35.433270	-82.511854	35.075646	-83.839487	114 mi	2 hours 5 mins	113.614613892	127.482876185	113.862	140.633333333
63168	35.905033	-79.752683	36.394022	-77.672006	156 mi	2 hours 26 mins	150.982049602	154.962666498	146.503	168.083333333
63169	35.294715	-77.469935	36.403344	-78.140948	107 mi	1 hour 55 mins	125.436805933	130.065864345	114.948	144.433333333
63170	35.090740	-83.705158	35.197509	-83.922899	31.1 mi	49 mins	29.7141869198	43.8708278305	30.984	58.4333333333
63171	36.277186	-81.708879	36.113724	-80.751686	62.8 mi	1 hour 11 mins	62.7367423105	75.5618020184	61.901	79.65
63172	35.136386	-80.362271	36.122742	-78.367903	169 mi	2 hours 55 mins	195.407136213	195.480587504	163.173	202.333333333
63173	34.537381	-78.674034	35.300542	-78.977542	65.1 mi	1 hour 20 mins	69.32054989	87.88516115	67.666	96.4833333333
63174	36.171804	-78.705362	36.409048	-77.928105	55.1 mi	57 mins	56.9345088831	65.2483784458	56.307	71.95
63175	36.149867	-78.572493	35.211216	-79.701370	114 mi	1 hour 59 mins	110.274275496	128.796352668	112.729	144.016666667
63176	36.485596	-76.302430	36.248159	-75.876476	37.3 mi	42 mins	37.4073789151	46.461217849	41.59	59.5333333333
63177	35.429171	-79.215716	34.899735	-79.770589	55.8 mi	1 hour 6 mins	55.2790624763	65.4237254223	59.585	78.0666666667
63178	35.017348	-80.720055	36.491347	-80.342730	132 mi	2 hours 16 mins	135.030545928	143.924368817	133.812	156.683333333
63179	35.856161	-79.101984	36.125794	-79.142018	24.0 mi	39 mins	23.9711817751	42.0593316271	24.09	45.65
63180	35.595336	-80.598217	34.958594	-78.519372	155 mi	2 hours 57 mins	172.712942615	183.266355853	159.555	190.416666667
63181	34.448593	-78.567155	35.800652	-79.543757	125 mi	2 hours 20 mins	127.919108904	140.719774984	125.481	153.266666667
63182	34.803706	-79.418747	35.270998	-81.596991	151 mi	2 hours 39 mins	149.911451982	167.294367018	145.879	167.2
63183	36.058544	-80.069236	36.193279	-79.643701	36.8 mi	40 mins	35.0477210137	38.4957395371	32.817	45.3
63184	35.297641	-80.676790	36.419153	-79.347873	126 mi	2 hours 4 mins	127.128338969	125.555983162	127.457	133.383333333
63185	36.139014	-79.619402	36.537436	-79.140734	49.1 mi	1 hour 4 mins	59.0724956057	64.2350222023	60.483	80.9166666667
63186	34.521488	-79.276029	35.225133	-80.266676	87.7 mi	1 hour 37 mins	91.29387437	100.553257241	91.521	118.166666667
63187	35.127104	-78.003336	36.308914	-76.228225	149 mi	2 hours 47 mins	182.167176912	184.323054877	160.242	197.433333333
63188	35.879189	-81.473836	35.141685	-82.755711	113 mi	2 hours 16 mins	120.596335619	138.511520222	118.124	146.3
63189	35.664189	-81.175242	36.459153	-81.108885	84.1 mi	1 hour 31 mins	83.9165065517	92.484755164	87.168	97.65
63190	36.267772	-78.610070	36.085480	-76.423417	159 mi	2 hours 42 mins	184.288365518	183.300807759	167.779	196.183333333
63191	36.083466	-78.766848	35.440130	-80.682549	134 mi	1 hour 59 mins	132.172836221	120.354159015	132.37	126.033333333
63192	35.807830	-79.098735	34.857139	-79.596544	84.7 mi	1 hour 35 mins	86.8724852082	99.070786769	89.498	115.283333333
63193	35.900070	-80.376563	35.208582	-81.230854	101 mi	1 hour 45 mins	103.04330785	107.707769838	98.908	117.016666667
63194	34.781222	-76.667821	35.137788	-83.494041	470 mi	7 hours 22 mins	473.527677436	458.068637553	478.913	503.066666667
63195	35.183425	-79.759139	34.755583	-78.888976	70.5 mi	1 hour 29 mins	99.0083032977	106.205740698	92.149	116.9
63196	35.363803	-81.098276	35.967367	-79.266348	138 mi	2 hours 15 mins	140.582976591	139.654304435	139.019	146.8
63197	36.073214	-79.046700	34.822346	-79.582322	118 mi	2 hours 0 mins	124.98395777	129.151720211	120.674	142.016666667
63198	35.690320	-81.304576	35.834550	-81.299569	12.0 mi	22 mins	11.9365382518	21.3257954739	12.571	23.0166666667
63199	35.253083	-82.131948	35.835962	-80.562275	121 mi	2 hours 8 mins	131.445614127	138.29405331	124.03	150.866666667
63200	35.527250	-80.797221	35.586031	-79.401994	114 mi	1 hour 51 mins	122.553892203	121.563765755	105.507	134.933333333
63201	34.750271	-77.965751	36.416008	-78.911812	147 mi	2 hours 26 mins	146.718296833	152.689801909	149.655	162.716666667
63202	34.806960	-77.942731	36.415517	-77.611017	133 mi	1 hour 58 mins	132.136904418	121.332002564	135.863	135.45
63203	35.688207	-81.190203	35.921905	-81.018520	32.3 mi	39 mins	31.7403189769	41.8845526368	33.883	50.85
63204	34.425785	-78.641546	34.692291	-78.220689	42.0 mi	53 mins	43.773066381	54.7337243387	42.063	70.95
63205	35.943902	-78.828106	35.701620	-80.434806	108 mi	1 hour 39 mins	105.326420389	98.0900362411	105.536	105.766666667
63206	35.610624	-76.861206	35.859202	-77.963699	88.2 mi	1 hour 28 mins	89.4650567283	88.8228568248	90.726	105.55
63207	35.204281	-80.071193	35.968558	-80.629471	71.9 mi	1 hour 35 mins	70.2179297529	100.672901308	70.372	102.116666667
63208	35.097729	-76.714348	36.385510	-76.699360	126 mi	2 hours 17 mins	125.552742212	137.724888945	126.136	164.066666667
63209	35.989811	-80.450800	35.277325	-82.148394	124 mi	2 hours 11 mins	131.890110049	136.625592778	129.94	149.866666667
63210	36.065045	-78.981187	36.353309	-78.118609	65.8 mi	1 hour 11 mins	65.7423024696	69.8787728816	68.764	78.6666666667
63211	35.322661	-78.580038	34.443366	-77.576058	111 mi	1 hour 43 mins	111.101347282	104.149978656	118.41	119.483333333
63212	36.088026	-79.347892	34.814015	-79.546774	105 mi	1 hour 55 mins	128.18438029	120.675568432	124.36	128.033333333
63213	35.478804	-76.860859	36.488554	-75.913505	139 mi	2 hours 39 mins	116.715754205	161.96181865	111.81	175.083333333
63214	36.418537	-79.335700	34.969585	-79.237894	120 mi	2 hours 21 mins	125.519401686	148.547849176	129.819	165.45
63215	35.252974	-81.085192	36.011451	-80.139179	88.5 mi	1 hour 27 mins	90.3292987774	90.9190255951	89.677	92.6166666667
63216	36.525495	-77.887156	36.536084	-77.861504	4.8 mi	10 mins	4.79583438624	8.08345124518	4.808	13.2166666667
63217	36.522894	-76.172994	35.359134	-75.501515	100 mi	1 hour 56 mins	100.002048344	119.138917596	100.314	126.616666667
63218	36.017170	-82.085987	35.417124	-81.000392	110 mi	2 hours 8 mins	116.185866894	137.802934304	110.642	139.683333333
63219	36.055971	-77.823616	35.754734	-77.479429	37.2 mi	42 mins	38.4426125797	44.1502745693	37.31	53.4666666667
63220	35.620939	-80.294223	35.535556	-81.408463	83.5 mi	1 hour 41 mins	97.3820500511	106.965648597	78.452	129.366666667
63221	34.271130	-78.877826	35.518536	-77.824107	122 mi	2 hours 24 mins	157.96103265	155.729501353	147.696	170.683333333
63222	35.131467	-78.349414	35.843262	-76.735164	146 mi	2 hours 20 mins	146.454257822	142.671389781	154.612	157.75
63223	36.323545	-77.025924	35.262608	-77.817034	97.3 mi	1 hour 49 mins	103.425775766	126.23043271	100.254	123.816666667
63224	35.479725	-77.587616	34.732419	-79.500904	143 mi	2 hours 29 mins	166.666129769	156.456355176	141.421	162.316666667
63225	36.256442	-79.427203	35.973324	-79.028634	38.0 mi	47 mins	42.522732372	52.4051306224	39.459	64.7833333333
63226	35.911841	-77.010804	36.277002	-78.406065	104 mi	1 hour 46 mins	115.71209653	114.882486868	115.829	123.05
63227	35.231511	-77.708580	35.504310	-79.542075	138 mi	2 hours 18 mins	137.542074026	143.094841892	138.075	159.516666667
63228	36.224785	-76.698548	35.563924	-78.334280	145 mi	2 hours 15 mins	144.903936012	142.477385824	145.178	154.166666667
63229	35.367952	-79.079585	35.585758	-79.164516	20.5 mi	25 mins	20.4060641989	27.6057490159	22.477	34.6166666667
63230	36.260392	-80.316835	36.354061	-78.306594	136 mi	2 hours 9 mins	136.389079449	131.26043893	136.015	138.75
63231	35.056256	-77.017576	35.365056	-83.766521	457 mi	7 hours 11 mins	460.93883931	446.765396564	466.361	495.766666667
63232	36.207538	-77.970156	36.466999	-78.125805	27.9 mi	35 mins	27.8338021489	35.2169180445	26.266	44.4166666667
63233	35.406280	-80.710504	35.430937	-81.357106	52.7 mi	57 mins	52.4502379017	58.8753333371	56.003	65.1
63234	36.173831	-80.334788	36.401960	-78.368459	135 mi	2 hours 5 mins	134.782330264	128.969756361	134.945	136.4
63235	35.772331	-79.142018	36.289951	-78.964077	46.2 mi	59 mins	45.0618109197	58.5502895497	46.255	61.7833333333
63236	36.041800	-77.743463	36.495673	-79.788027	161 mi	2 hours 40 mins	173.326803814	167.10674546	154.34	171.116666667
63237	36.133174	-78.112860	35.122419	-76.912441	122 mi	2 hours 6 mins	119.709762011	132.672524599	132.202	148.783333333
63238	35.070140	-83.088353	35.826294	-82.563859	84.9 mi	1 hour 51 mins	96.0035634298	116.184825307	85.121	113.35
