ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
60001	36.326466	-80.868746	35.178569	-77.505009	239 mi	3 hours 45 mins	238.697252754	233.904077905	239.34	245.283333333
60002	36.474933	-80.584302	36.234465	-76.252076	301 mi	4 hours 33 mins	302.762617533	285.554346581	289.88	302.733333333
60003	36.247370	-76.039526	35.969293	-80.286011	292 mi	4 hours 35 mins	292.279266022	283.548402094	290.735	301.333333333
60004	36.456559	-81.082952	35.096681	-80.146153	137 mi	2 hours 39 mins	154.242672003	170.81525233	137.237	169.816666667
60005	35.611275	-82.165297	36.444889	-79.109270	209 mi	3 hours 18 mins	216.891018802	206.693832369	214.819	222.866666667
60006	36.019784	-79.358784	35.344858	-83.815407	289 mi	4 hours 31 mins	288.964105012	278.776696854	290.517	298.833333333
60007	36.411871	-79.069015	36.241211	-81.659008	174 mi	2 hours 54 mins	176.177691051	184.186149454	174.279	197.033333333
60008	34.695817	-78.715610	35.899177	-81.234251	214 mi	3 hours 36 mins	217.404914002	227.138941628	214.409	239.05
60009	35.793691	-81.522732	35.759751	-79.662930	122 mi	2 hours 8 mins	140.541511454	136.006621774	121.939	140.85
60010	35.309157	-80.913461	36.044840	-82.279751	124 mi	2 hours 24 mins	132.774116126	149.915860787	124.036	150.766666667
60011	35.143571	-83.405563	35.432841	-80.989193	180 mi	3 hours 0 mins	178.620159998	183.392968367	179.132	191.683333333
60012	35.238123	-80.998178	35.448184	-76.445228	326 mi	5 hours 6 mins	332.062311921	314.499636293	326.416	343.65
60013	35.686548	-81.175103	35.138782	-82.852016	123 mi	2 hours 9 mins	128.405395166	132.270734879	122.83	134.983333333
60014	35.527552	-80.969101	35.198701	-80.189853	70.1 mi	1 hour 30 mins	70.6201486558	96.9161675068	70.187	100.916666667
60015	35.595778	-78.439508	34.767732	-77.355519	105 mi	1 hour 57 mins	104.212148405	122.433578	111.602	136.6
60016	35.524398	-80.963764	35.910314	-82.357678	109 mi	2 hours 8 mins	108.401056318	130.607228122	108.042	134.9
60017	35.487217	-82.513154	35.861024	-77.111506	351 mi	5 hours 15 mins	354.930525664	327.339747245	339.019	345.6
60018	35.468848	-82.493898	36.342337	-75.953878	437 mi	6 hours 43 mins	451.862657023	434.881841372	425.912	439.216666667
60019	35.902413	-81.581812	36.064882	-81.927990	36.5 mi	57 mins	43.0397732347	63.0105486346	36.511	69.6
60020	35.254335	-82.344510	36.527010	-77.926050	304 mi	4 hours 46 mins	320.724433608	301.718808281	305.383	317.4
60021	35.915892	-77.802403	35.916603	-80.573381	187 mi	2 hours 48 mins	186.549529908	173.353831672	183.084	184.716666667
60022	34.640165	-78.311463	35.060310	-80.878496	173 mi	3 hours 7 mins	174.072121093	194.916955935	173.07	210.233333333
60023	36.297635	-76.863238	35.896047	-77.955140	87.3 mi	1 hour 35 mins	100.310253269	105.380449579	91.401	109.583333333
60024	36.216713	-79.859706	35.437063	-82.004274	154 mi	2 hours 29 mins	153.880792726	150.243971309	151.471	165.1
60025	36.014669	-78.823733	35.211216	-79.701370	94.6 mi	1 hour 38 mins	100.944073875	112.526094639	93.727	120.616666667
60026	36.059683	-77.383081	35.060138	-83.126608	390 mi	6 hours 37 mins	411.270854358	410.437319933	392.282	423.233333333
60027	35.373589	-81.019844	35.453183	-77.672154	249 mi	3 hours 50 mins	249.109863573	236.534005563	223.597	259.3
60028	35.366715	-82.396990	36.280820	-80.405760	164 mi	2 hours 53 mins	183.532154125	180.512405797	177.835	184.4
60029	35.473189	-76.804907	35.057216	-78.114492	101 mi	1 hour 56 mins	121.729635215	125.768205493	111.319	134.466666667
60030	34.851556	-78.878864	35.496696	-80.025363	92.2 mi	1 hour 56 mins	130.961735131	144.137554996	102.353	140.533333333
60031	36.172822	-80.217111	36.514571	-79.420701	57.9 mi	1 hour 10 mins	60.7865405552	75.0188156252	58.462	82.8166666667
60032	35.942413	-78.838547	35.340320	-83.281574	282 mi	4 hours 19 mins	282.451612396	265.630757443	283.055	278.116666667
60033	36.179462	-81.843433	36.093136	-78.449332	209 mi	3 hours 36 mins	213.74048532	223.922955854	210.304	236.45
60034	36.162120	-80.206314	34.867102	-76.764066	245 mi	4 hours 2 mins	248.235377644	250.402711314	248.286	270.55
60035	36.441998	-81.580814	34.435079	-77.567139	335 mi	5 hours 23 mins	336.322874188	328.502385584	348.279	356.616666667
60036	35.317754	-83.179902	35.441291	-83.089496	17.8 mi	26 mins	17.8058040466	25.4878509848	17.159	28.6333333333
60037	36.020284	-80.222105	35.988947	-80.485758	22.1 mi	24 mins	22.1410304611	23.6048101486	21.924	28.85
60038	36.209147	-76.515142	35.144701	-76.882605	110 mi	1 hour 58 mins	110.285271685	119.941577479	113.692	136.183333333
60039	36.071121	-81.871749	35.437954	-83.438413	130 mi	2 hours 22 mins	138.734191292	150.064969509	130.396	150.4
