ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
66533	35.505291	-79.052851	36.138237	-80.865380	133 mi	2 hours 5 mins	133.415379041	127.710998634	127.927	138.183333333
66534	36.440268	-77.079178	36.219317	-76.706349	42.2 mi	51 mins	42.4447252123	54.0714936561	42.362	64.5333333333
66535	35.735704	-78.862566	35.914586	-78.333061	43.3 mi	45 mins	43.5587766213	46.7688278202	39.905	53.15
66536	36.023219	-76.580814	36.110636	-78.744121	165 mi	2 hours 37 mins	164.485940223	165.096701093	155.575	172.8
66537	34.720252	-79.453712	36.337406	-80.803202	177 mi	2 hours 42 mins	184.572752379	179.949113695	173.6	177.9
66538	35.525088	-79.969899	35.293961	-80.741092	55.0 mi	1 hour 8 mins	53.8196308722	72.7542685683	53.888	76.1333333333
66539	36.471509	-81.299341	36.475749	-81.056297	20.1 mi	32 mins	19.464667964	30.9365754592	19.387	31.0333333333
66540	35.554516	-82.680854	36.214152	-81.626966	104 mi	2 hours 6 mins	116.021023999	129.951364316	103.941	128.45
66541	36.041336	-78.881753	35.898931	-78.608719	22.9 mi	29 mins	22.6883873287	26.3348748624	22.769	27.8666666667
66542	36.027230	-79.346410	35.817765	-81.291316	126 mi	1 hour 59 mins	127.49333451	124.56862749	131.257	135.4
66543	34.486211	-78.563952	35.466869	-78.184162	102 mi	1 hour 46 mins	107.300650616	109.43664569	107.513	123.666666667
66544	36.206784	-79.770359	35.768837	-81.730073	128 mi	2 hours 9 mins	131.351197037	132.570065856	125.501	142.933333333
66545	36.002702	-77.684909	35.999470	-79.017746	95.7 mi	1 hour 32 mins	96.6631781448	100.293766636	95.975	109.216666667
66546	35.223185	-82.336241	35.194632	-82.918392	57.5 mi	1 hour 23 mins	57.3432032028	77.3482440671	54.603	86.0
66547	35.173178	-80.255141	35.301733	-81.535520	93.6 mi	1 hour 42 mins	94.2214306482	105.47368591	86.284	105.55
66548	35.680006	-78.409562	35.299023	-79.249407	74.7 mi	1 hour 17 mins	74.2626356401	78.3298628426	75.144	95.6333333333
66549	35.284765	-80.733485	36.148139	-81.129272	84.1 mi	1 hour 24 mins	87.4560612215	85.3388326962	84.167	86.8
66550	35.876577	-79.753956	35.277456	-81.599148	135 mi	2 hours 10 mins	135.435403082	138.467560776	135.758	145.433333333
66551	35.670034	-77.880169	34.692967	-79.520955	130 mi	2 hours 6 mins	145.733737409	133.231586455	125.392	140.266666667
66552	35.229367	-80.561749	35.956734	-82.228062	157 mi	2 hours 56 mins	156.10496852	173.229855941	149.338	186.683333333
66553	35.597013	-79.333032	36.376772	-80.302154	92.9 mi	1 hour 35 mins	91.9776693101	98.3270146933	91.318	107.95
66554	35.280771	-80.793537	35.343700	-80.957924	13.0 mi	17 mins	13.0326105836	17.9892968135	13.053	16.2666666667
66555	36.175189	-81.984389	35.022073	-83.714961	173 mi	3 hours 6 mins	171.67103202	190.654013481	169.53	199.533333333
66556	36.124981	-78.938253	35.245341	-79.622494	94.0 mi	1 hour 43 mins	102.617746014	111.709012058	94.162	118.1
66557	35.620016	-82.643050	35.216954	-82.742011	38.9 mi	51 mins	38.8522147242	49.4571246552	39.395	52.0666666667
66558	35.247650	-83.022643	35.547179	-76.187757	495 mi	7 hours 51 mins	492.93476874	476.32944607	484.619	514.75
66559	35.032223	-76.992828	35.382697	-77.687659	52.8 mi	57 mins	52.9504345889	58.5450889376	53.124	68.25
66560	35.088076	-78.847900	34.420842	-78.142552	72.6 mi	1 hour 25 mins	76.5497920477	88.1452063057	79.984	99.2333333333
66561	35.751798	-78.889582	36.430764	-76.924339	147 mi	2 hours 22 mins	148.148047188	149.643172575	150.718	162.216666667
66562	35.259435	-76.878102	36.409538	-76.282869	125 mi	2 hours 10 mins	124.48412868	130.800784681	124.759	150.416666667
66563	36.335722	-77.712561	36.379089	-77.443797	22.3 mi	26 mins	22.4380017376	31.4066008475	24.604	37.0333333333
66564	35.696629	-80.801442	35.220255	-81.396358	67.0 mi	1 hour 5 mins	66.8410097781	69.3615886616	65.69	79.5833333333
66565	35.956408	-79.628067	35.412690	-80.716140	85.9 mi	1 hour 24 mins	86.22095501	86.6999198227	90.489	96.3666666667
66566	35.211750	-75.686128	35.091891	-83.199510	558 mi	9 hours 21 mins	579.397840724	582.526285412	556.051	595.533333333
66567	35.941667	-81.252009	35.443704	-81.500014	44.3 mi	1 hour 2 mins	50.821444988	67.1617377171	53.86	76.1
66568	35.172978	-77.307551	35.853206	-77.691228	64.9 mi	1 hour 23 mins	70.6010188601	85.8114546832	70.876	94.4
66569	35.286078	-81.025751	35.542477	-82.873272	126 mi	2 hours 6 mins	138.833964446	137.100245338	127.524	136.05
66570	35.701658	-81.997757	36.112760	-81.986945	39.8 mi	1 hour 2 mins	44.2967053935	64.4594064698	44.578	61.5333333333
66571	35.707167	-82.623255	35.225969	-82.604017	44.8 mi	58 mins	49.5667337689	60.5020925566	48.722	66.1
66572	35.990732	-77.102373	35.880808	-76.610953	35.5 mi	48 mins	35.5387308037	44.8336644013	39.125	66.8166666667
66573	36.274881	-77.021221	35.882887	-79.037775	149 mi	2 hours 24 mins	153.183162793	149.974047736	153.433	159.816666667
66574	35.019293	-79.094197	36.496364	-77.942114	151 mi	2 hours 30 mins	149.753461441	154.023157431	157.738	170.35
66575	35.252843	-81.084059	35.347107	-79.121482	128 mi	2 hours 32 mins	167.845312352	162.416785244	140.609	167.633333333
66576	35.550767	-82.938799	35.940038	-82.403287	58.1 mi	1 hour 6 mins	58.1415014462	63.5429999524	58.588	70.4666666667
66577	35.798508	-82.878282	35.204895	-82.755000	67.6 mi	1 hour 37 mins	76.8912783283	98.4163393334	77.268	106.233333333
66578	35.834067	-82.784782	36.001562	-82.141905	59.8 mi	1 hour 23 mins	59.7676256404	83.1690037092	60.068	92.65
66579	35.024800	-79.139591	36.345828	-77.478823	158 mi	2 hours 32 mins	155.617447473	156.190310946	157.273	164.183333333
66580	35.895002	-76.540253	36.248192	-76.341659	44.9 mi	52 mins	45.5053594175	49.9301550987	44.966	56.55
66581	34.877501	-78.951567	35.034027	-76.712432	158 mi	2 hours 48 mins	172.082957113	177.416528297	167.224	210.583333333
66582	35.253849	-77.612650	35.336404	-79.602187	150 mi	2 hours 31 mins	149.224283749	153.890404357	155.957	183.666666667
66583	36.526169	-77.886309	35.001405	-76.791798	164 mi	2 hours 45 mins	168.166476763	172.879620841	173.159	200.916666667
66584	36.050192	-79.660868	36.508140	-77.890957	120 mi	2 hours 0 mins	120.938024818	119.672365313	120.435	135.4
66585	36.008791	-77.540216	36.453577	-77.675023	41.7 mi	50 mins	47.6090793989	52.1586712485	42.175	59.6333333333
66586	35.970089	-81.260661	36.175189	-81.984389	69.1 mi	1 hour 38 mins	70.9775580095	103.201618639	71.048	108.566666667
66587	35.809019	-81.269160	35.286716	-79.373521	138 mi	2 hours 37 mins	176.105103177	177.488525255	148.931	192.55
66588	36.223315	-76.376218	36.268244	-76.547958	12.0 mi	15 mins	12.0331676563	14.446693367	11.984	17.6833333333
66589	35.471071	-76.718566	35.417450	-83.874589	477 mi	7 hours 28 mins	473.102142879	466.591917979	474.0961	499.333333333
66590	34.738835	-76.778574	34.919652	-77.622021	59.4 mi	1 hour 11 mins	59.3367029165	72.9510328914	59.492	75.3833333333
66591	35.805796	-77.068191	36.504173	-77.256292	63.7 mi	1 hour 19 mins	61.1010326501	79.8352697108	61.31	96.0
66592	34.991134	-79.114586	35.236793	-79.308421	32.7 mi	41 mins	33.5292602609	43.4420528235	34.607	60.1
66593	36.244771	-76.588256	35.269470	-83.364520	467 mi	7 hours 15 mins	463.969146783	441.363049533	464.592	476.616666667
66594	36.482124	-79.514955	35.996701	-79.205015	53.5 mi	1 hour 7 mins	56.078264246	77.4164646872	56.219	78.3
66595	35.544270	-82.852654	35.366500	-82.009772	67.8 mi	1 hour 15 mins	67.4234592539	72.2655085558	68.822	85.25
66596	34.997293	-78.099486	36.422115	-76.666040	161 mi	2 hours 52 mins	192.571736887	192.404673412	155.135	197.316666667
66597	34.880372	-79.502431	36.275662	-80.946155	155 mi	2 hours 34 mins	183.001589311	181.958988648	173.924	193.166666667
66598	36.163754	-79.430001	35.650920	-77.418690	145 mi	2 hours 13 mins	145.734938518	139.127899682	145.299	158.483333333
66599	36.407885	-79.344123	36.313816	-78.667246	43.3 mi	55 mins	43.3084662403	55.7617119834	43.192	58.2166666667
66600	34.265680	-79.010148	34.660420	-77.201043	129 mi	2 hours 22 mins	142.588827058	154.339614394	144.143	173.7
66601	35.979457	-76.952474	35.558122	-77.603281	55.3 mi	1 hour 3 mins	55.122558877	60.7055107109	63.217	66.95
66602	35.094223	-84.033961	35.035359	-76.713345	496 mi	7 hours 56 mins	500.280900578	491.702457054	508.1931	535.966666667
66603	34.918225	-79.768742	35.215399	-80.457173	53.5 mi	1 hour 4 mins	67.1898269132	81.6955384952	57.07	86.2333333333
66604	34.456839	-78.862288	34.572807	-79.197710	27.6 mi	29 mins	27.8135505251	30.8150264419	32.502	38.5
66605	35.913869	-78.668766	36.539407	-79.249704	65.3 mi	1 hour 20 mins	65.1827496391	81.4584171661	65.025	92.0166666667
66606	35.553692	-76.867944	35.052704	-78.836258	144 mi	2 hours 17 mins	146.270691509	140.024067798	141.115	152.433333333
66607	35.496136	-76.042900	35.306557	-83.878026	523 mi	8 hours 19 mins	533.410405646	519.735412121	521.8489	553.883333333
66608	35.862250	-77.822512	35.511002	-78.050872	32.7 mi	39 mins	33.5206803597	40.6274856617	34.288	44.9
66609	36.070427	-79.328366	36.069049	-79.276526	3.9 mi	6 mins	3.95838454927	4.86514698366	3.923	7.58333333333
66610	35.491000	-78.785088	35.385601	-79.240697	36.4 mi	48 mins	36.2905221337	48.1325719432	36.392	54.7333333333
66611	36.415134	-81.572175	35.206230	-80.100363	152 mi	2 hours 57 mins	169.285164502	191.425931059	153.282	189.85
66612	36.190452	-79.852099	36.082376	-79.083162	53.2 mi	1 hour 3 mins	53.2056922526	62.2769396385	53.348	65.5666666667
