ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
20006	36.506186	-76.846794	35.508406	-76.002495	117.824176322	135.038046385
20007	35.858650	-77.039997	36.537456	-78.035899	124.216786756	126.086602224
20008	36.279355	-80.346665	35.901103	-82.270614	155.236020742	164.487332092
20009	36.315429	-79.432954	35.886049	-78.250216	100.983260836	101.998912594
20010	35.269899	-82.160785	36.203403	-81.561883	97.3328998823	134.302039786
20011	35.881378	-77.181352	34.731545	-78.908040	161.087486837	155.363392545
20012	35.747698	-81.722630	34.862756	-80.120362	138.616436043	154.054307318
20013	36.106610	-77.882876	35.091688	-77.217095	117.727526069	115.504134216
20014	36.079854	-80.106899	36.508076	-80.778623	56.2567098177	56.9652001352
20015	36.270639	-81.316411	36.474252	-81.252757	29.1480024068	42.9053604312
20016	35.021061	-79.141393	36.518760	-78.233434	138.145040486	147.816991429
20017	36.446236	-81.235646	35.275928	-79.745102	159.269942521	162.765270312
20018	34.976232	-79.740012	35.489221	-77.997975	155.575562524	152.683187464
20019	34.695560	-77.001397	36.230847	-77.741531	154.225514614	156.135373107
20020	34.884009	-79.218837	35.423728	-80.560970	138.318311043	158.366702177
20021	35.289776	-83.785054	35.354694	-83.206045	50.9049758577	61.0890776714
20022	35.216876	-80.168848	36.235119	-81.788503	161.841608889	189.851857347
20023	34.994467	-78.941200	36.395250	-78.529395	125.383168832	137.045285829
20024	35.185536	-81.925635	35.926126	-82.080626	70.9424883332	98.2471385591
20025	34.798372	-78.821861	35.484653	-79.132874	55.0270609703	63.5074810374
20026	35.153468	-78.917163	35.665554	-80.869766	167.829774393	167.488861919
20027	35.909328	-75.671731	36.338269	-76.634552	90.884430149	99.2301343449
20028	34.955776	-79.686133	36.428548	-78.498518	151.2560596	161.58031525
20029	36.072923	-81.911346	36.069272	-81.267200	61.2389821405	77.344166116
20030	36.256442	-79.427203	35.569096	-80.858125	119.74250164	121.358070772
20031	36.032341	-81.932914	35.890423	-82.016835	17.1353601316	27.4528548548
20032	33.893870	-78.486171	35.497213	-79.048854	160.666396516	175.633402914
20033	35.771664	-79.140393	36.297221	-80.482241	99.2806552855	101.603501559
20034	35.768874	-78.452807	34.266240	-77.813792	133.446686385	119.414185449
20035	35.620016	-82.643050	36.001747	-82.399245	45.4860932446	56.7798092294
20036	35.754088	-78.894920	36.338705	-79.034149	50.3719031032	64.3596801931
20037	35.720681	-77.687553	35.464731	-78.018090	35.3199571334	40.5945631143
20038	34.901758	-79.813440	36.285967	-80.522686	134.229511602	137.79184745
20039	36.495627	-80.590573	36.352014	-81.791139	104.806364539	122.509688612
20040	34.987816	-78.814643	36.158454	-79.501842	130.134816888	126.072639915
