ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
30001	35.948243	-81.486993	35.816013	-81.311624	26.5196884863	34.2201948108
30002	35.124293	-77.839089	36.117893	-79.426351	135.772032226	138.563885959
30003	36.180693	-79.866876	35.248899	-80.572430	99.3663397345	104.83346984
30004	36.039917	-77.844814	34.755583	-78.888976	116.82046081	114.12989205
30005	35.010917	-80.028597	35.469939	-79.093722	78.3632169918	97.4896972918
30006	35.374166	-77.789538	36.279291	-76.116042	141.890301492	151.955015131
30007	36.512961	-80.976991	35.482124	-81.761454	132.903067301	139.061296134
30008	36.053209	-78.901487	34.879975	-77.205835	151.19378269	160.649210053
30009	35.747936	-81.448655	36.148139	-81.129272	45.7284997785	57.950546732
30010	36.530862	-80.568595	36.216833	-81.039553	42.0068927141	52.6915063047
30011	34.146597	-77.877335	34.745562	-79.334654	104.099904167	104.2517404
30012	36.122500	-80.354786	35.348762	-78.402412	158.208517184	151.859492599
30013	35.601884	-80.613823	35.807492	-80.476151	24.08828334	37.054177086
30014	35.300584	-80.078681	35.359515	-82.176140	165.29737355	168.557532014
30015	35.755472	-78.890330	35.732187	-77.013368	123.117858679	119.351105673
30016	35.634569	-82.002420	36.136138	-80.687837	104.592851538	97.6022344458
30017	35.116807	-84.089585	35.641388	-82.099181	142.396827189	159.587240011
30018	35.619899	-80.821214	35.608898	-79.106155	125.287660576	133.14313382
30019	35.599699	-78.541088	35.227066	-79.403240	82.0225769155	85.070608237
30020	35.389845	-77.745729	35.605180	-78.126357	36.5677355435	45.4869484711
30021	35.568090	-79.463308	36.237290	-77.701420	136.245132347	127.899066089
30022	36.473165	-76.041962	35.699068	-77.624087	123.173849794	134.76712821
30023	35.130287	-83.431679	35.143571	-83.405563	6.52195864045	13.9826159225
30024	36.193504	-79.860882	36.502287	-78.891983	83.342000497	93.5768343106
30025	34.737549	-76.756256	35.093203	-83.945131	502.692943009	494.735230959
30026	34.531173	-78.137734	34.780447	-79.531600	105.708875986	101.599600577
30027	35.625780	-82.167513	35.042070	-83.728922	121.039139717	128.94320345
30028	35.485283	-80.629274	35.821248	-79.793984	69.8631467199	71.2936786313
30029	35.249577	-80.647603	35.561545	-80.633939	29.0630216571	36.4773993762
30030	36.216299	-76.710587	35.095937	-77.749055	127.072360073	145.554873594
