ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
59993	36.343461	-78.598901	35.162511	-83.393299	322 mi	4 hours 56 mins	322.055716511	305.311307809	322.454	316.383333333
59994	35.000118	-84.258192	34.727927	-77.494158	495 mi	7 hours 43 mins	506.038170108	482.433697616	492.427	502.433333333
59995	35.080035	-83.752834	35.462629	-79.061383	333 mi	5 hours 19 mins	333.273984968	326.17132911	332.19	350.033333333
59996	35.967330	-79.104186	35.719554	-76.116646	203 mi	3 hours 14 mins	202.771200552	197.152424496	203.017	221.45
59997	35.222800	-76.774134	36.347866	-78.393594	145 mi	2 hours 39 mins	189.000136156	196.910275744	162.425	206.716666667
59998	35.046826	-77.230898	35.253217	-82.030525	346 mi	5 hours 26 mins	362.045783623	356.182710107	326.03	367.633333333
59999	34.114964	-77.877665	35.834289	-77.660083	144 mi	2 hours 20 mins	167.619108264	160.741394356	146.522	160.083333333
60000	35.679513	-81.294090	35.433607	-79.591351	119 mi	2 hours 6 mins	144.181255685	139.44548247	118.649	140.45
