ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
75001	35.472292	-80.698871	36.147703	-81.987332	140.519661952	161.120281498
75002	35.109270	-80.648227	35.053746	-77.583270	227.670678074	248.485949036
75003	35.827747	-77.225887	34.698455	-78.859618	157.681090762	150.01602931
75004	35.384239	-81.065735	34.996917	-79.143636	141.472210773	174.489533844
75005	35.394194	-80.750111	35.042308	-79.142794	135.789337502	154.738524712
75006	35.406843	-76.287935	35.881363	-82.404199	424.40619543	421.796007745
75007	34.964210	-78.892532	34.992766	-79.023471	10.8938216681	16.4268297852
75008	33.891209	-78.473170	36.049360	-79.490168	236.153138678	219.255933159
75009	36.402176	-78.511676	35.348395	-81.936837	237.689936952	233.948288396
75010	34.825088	-77.454305	34.921770	-79.766056	173.229459417	190.440349465
75011	35.063677	-84.015152	35.031717	-79.101739	379.881364272	383.81969524
75012	36.499617	-80.155522	35.225380	-77.638129	204.454824179	216.333990844
75013	35.136808	-83.494762	36.062964	-78.106593	364.876885036	354.291018513
75014	35.407002	-81.883913	35.417671	-83.464547	124.246336184	131.129465013
75015	35.394395	-80.717564	35.650859	-80.319332	36.8074918176	42.0156698612
75016	35.601148	-82.397373	36.078656	-76.418848	392.646480749	364.971736638
75017	35.667547	-81.122887	35.486507	-76.474140	322.158367409	305.771084558
75018	36.430057	-81.148978	35.719059	-82.761230	183.895385432	191.894601037
75019	36.290568	-76.143795	36.322123	-76.962092	59.9967866928	73.6961544385
75020	36.514415	-76.239626	36.480130	-79.826061	247.870040784	266.472442434
75021	35.198641	-82.766040	35.855743	-79.110808	263.227309555	257.120988548
75022	34.057254	-78.539587	35.864900	-76.716710	213.249911769	234.293813351
75023	36.213135	-76.708406	35.497864	-82.845898	417.803037002	392.904216281
75024	35.406559	-76.326458	35.210277	-82.042250	411.618299546	399.940441931
75025	35.825878	-82.598589	36.000286	-82.437398	29.2067407232	43.1308246528
75026	36.023729	-79.327576	35.414335	-76.090117	238.382606685	236.315852701
75027	36.315431	-76.162434	35.075632	-78.554583	205.991289054	206.921024837
75028	35.256743	-81.260747	34.966467	-78.053197	264.235480466	241.123073758
75029	35.395425	-81.294256	35.194854	-77.476693	285.224470529	279.685819066
75030	35.418239	-82.332276	36.080535	-76.424442	431.410277884	407.247473597
75031	35.539833	-78.221455	34.712694	-77.676958	94.9351158881	96.2602526808
75032	35.600271	-82.320090	36.349078	-76.164914	425.429122608	410.279611284
75033	34.082217	-77.914205	36.259835	-80.541707	268.81629645	259.135953167
75034	36.527983	-81.596093	36.430611	-78.694774	222.996226872	232.888118478
75035	35.871070	-80.139100	36.201125	-76.267747	263.198270299	248.84213086
75036	34.516889	-78.527004	36.195737	-81.630994	258.858849855	269.703094489
75037	35.975594	-80.284220	35.313482	-83.545836	224.82789235	223.283045606
75038	35.903596	-82.559193	36.199302	-81.628997	78.9112345252	116.886446933
75039	34.679653	-78.978125	35.144451	-82.930905	312.517495642	298.476263321
75040	36.049751	-78.872883	36.072667	-78.376901	34.8275323127	45.1866707396
75041	36.171358	-80.356867	35.224996	-83.365154	212.292870764	208.443272528
75042	36.414825	-80.245096	36.213498	-80.767593	48.7453211864	65.3275914393
75043	34.695071	-76.559439	34.280490	-77.797759	106.233327801	133.501564263
75044	36.243277	-76.837768	36.502519	-79.736196	210.663216537	239.177378744
75045	34.981739	-76.976084	35.545769	-79.125425	154.786626767	157.835027927
75046	35.447027	-80.730376	36.386435	-80.414750	87.6370149617	90.7361870896
75047	35.309670	-82.605987	36.331073	-78.339440	296.6245672	280.840838822
75048	35.307802	-82.478631	35.118614	-83.391745	89.2037987342	100.201810058
75049	36.342057	-76.103604	35.257251	-78.968871	220.357852803	228.793842209
75050	35.063549	-83.185958	36.088345	-76.379050	489.391059674	485.900268463
75051	34.825500	-79.745541	36.492743	-78.011912	173.198164859	197.913943575
75052	36.071196	-77.671043	35.325146	-81.620372	283.13558007	271.584298707
75053	34.154691	-77.877701	35.037633	-83.827333	446.471307218	432.486784211
75054	35.585154	-80.260114	35.902228	-80.689734	40.5419773515	55.518404468
75055	36.459153	-81.108885	35.266361	-79.067265	173.126654828	175.250407403
75056	34.763406	-79.405372	35.002513	-83.878624	335.630474964	353.124147228
75057	35.003740	-83.671033	34.250011	-78.794727	399.005665198	376.77338513
75058	35.286860	-81.803496	35.969754	-82.262313	75.2349743467	101.758483912
75059	35.034879	-79.144042	34.433305	-77.569994	133.847865071	154.58173035
75060	35.349634	-79.909322	35.448107	-83.370188	277.949143457	266.326578986
75061	35.508716	-80.097694	36.197575	-81.708902	142.283962264	154.722240269
75062	36.435948	-80.532547	36.149820	-76.318641	297.323672601	279.68307848
75063	36.223537	-76.446479	35.287367	-82.104681	404.697906047	378.762974245
75064	35.706958	-79.830089	35.114321	-83.361037	263.437607657	254.992970925
75065	34.672618	-78.767058	34.457158	-78.565814	24.6002503656	28.5866648397
75066	36.493530	-81.005101	35.921089	-76.416851	316.984768738	308.720389392
75067	35.487995	-80.733080	36.241745	-76.314646	313.992327562	290.24224932
75068	35.471918	-80.371004	35.424015	-83.369229	219.748222304	219.799506707
75069	36.098598	-77.113294	35.974575	-79.603403	179.788620553	170.676270664
75070	35.642260	-80.782068	35.235837	-81.674772	80.0555559544	90.405947566
75071	36.203637	-78.679114	35.366715	-82.396990	279.598761875	257.142113457
75072	36.141898	-80.081575	35.468948	-82.582357	166.942751786	159.544585941
75073	35.950094	-78.509729	34.355181	-77.705673	142.731752882	132.007910336
75074	35.776398	-76.896007	35.952320	-82.432177	375.544394201	366.558846795
75075	35.333652	-83.209216	36.327938	-78.941144	282.617078253	274.148899611
75076	35.645673	-82.644951	35.863461	-76.628418	388.621450213	362.203032205
75077	35.238795	-80.116312	35.466459	-80.195577	21.7743971756	31.8866504836
75078	36.463365	-76.024891	36.363454	-81.721451	393.533790941	394.552798675
75079	35.298539	-82.482861	35.438061	-80.247694	154.915621984	162.04361802
75080	36.405623	-77.635619	35.729713	-82.760782	354.023208692	333.566994377
75081	35.486892	-82.516497	35.503965	-80.655249	151.080099882	147.778863609
75082	35.483281	-78.784762	35.881309	-82.570404	283.203006401	280.258060837
75083	35.609822	-82.414586	36.219014	-80.663820	134.876423046	128.954594755
75084	34.988460	-80.094983	35.568309	-77.295835	205.263802849	209.96435141
75085	34.591072	-78.649377	35.408014	-81.133332	174.657451355	201.35673479
75086	35.614487	-79.110899	35.922050	-82.054515	213.49504946	212.897337373
75087	35.456222	-76.094972	36.098174	-76.485282	77.5599250482	91.1583236127
75088	35.562127	-76.865629	35.886986	-76.694358	26.9127573626	31.324740869
75089	35.712670	-81.189895	36.278617	-79.629374	108.797271533	104.040213346
75090	35.319435	-83.796689	36.172629	-80.673573	229.360590956	224.60477458
75091	35.250096	-79.207013	35.216047	-80.457044	112.885682506	139.505988086
