ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
55001	35.064780	-83.901199	36.447250	-76.605699	481 mi	7 hours 51 mins	508.685156767	491.782054991	483.82	513.916666667
55002	35.122648	-84.292240	35.071221	-76.888657	505 mi	8 hours 5 mins	508.350805883	502.937995942	505.367	531.05
55003	36.308016	-76.026970	35.551941	-82.817370	443 mi	6 hours 45 mins	464.947913216	444.206707144	440.455	441.283333333
55004	35.020147	-84.243534	36.314125	-76.267656	538 mi	8 hours 19 mins	543.360957226	518.636724226	525.341	541.316666667
55005	36.018673	-76.567356	35.435354	-83.454436	453 mi	6 hours 53 mins	456.207212756	429.827240182	450.418	444.4
55006	35.060524	-83.809995	35.881527	-76.710428	473 mi	7 hours 15 mins	477.350517873	451.286114693	462.585	476.066666667
55007	35.406166	-83.469564	36.336668	-76.274976	485 mi	7 hours 19 mins	496.955899695	477.023140821	474.446	477.0
55008	35.845993	-75.641050	35.290907	-83.785156	530 mi	8 hours 8 mins	534.368818985	507.959135955	527.846	527.866666667
55009	35.365356	-75.498189	35.068982	-83.369223	555 mi	8 hours 40 mins	558.686092091	538.474965904	552.1741	562.466666667
55010	35.379818	-83.467401	36.342340	-76.655944	442 mi	7 hours 11 mins	477.670006299	447.156158994	444.669	474.1
55011	35.285430	-83.788847	36.383976	-76.671292	464 mi	7 hours 33 mins	493.08430553	478.825988915	466.856	496.666666667
55012	35.118140	-83.963185	36.438696	-76.592316	481 mi	7 hours 53 mins	509.656791805	497.04386491	484.412	516.55
55013	35.019530	-83.856472	36.449270	-76.594583	478 mi	7 hours 48 mins	506.409894209	489.856099942	481.251	510.9
55014	36.226467	-76.952304	34.999769	-83.761260	472 mi	7 hours 22 mins	483.187745501	457.871591078	476.8401	478.333333333
55015	34.996521	-83.882193	36.088905	-76.573208	491 mi	7 hours 31 mins	495.488487944	466.764283111	480.406	490.3
55016	36.290608	-76.146382	35.024755	-83.682596	511 mi	7 hours 52 mins	517.416291734	490.875706235	507.921	508.516666667
55017	35.114321	-83.361037	36.498959	-76.744428	445 mi	7 hours 15 mins	456.959771652	445.816798051	445.507	475.233333333
55018	36.279706	-76.725888	35.416500	-83.465318	455 mi	6 hours 56 mins	460.228750741	432.918538771	453.5	454.433333333
55019	35.287167	-83.784101	35.930154	-76.583173	473 mi	7 hours 16 mins	476.9950655	451.135640047	462.981	473.8
55020	35.429693	-83.450382	36.480036	-76.282448	488 mi	7 hours 22 mins	491.776175947	471.573912173	477.891	485.95
55021	35.845993	-75.641050	35.529685	-83.095604	471 mi	7 hours 10 mins	475.522719029	447.858740714	0	0.0
55022	35.623383	-76.689787	35.022127	-84.274134	501 mi	7 hours 57 mins	507.145085695	493.426232449	509.901	525.7
55023	36.241992	-75.871257	35.166413	-83.145489	501 mi	8 hours 14 mins	530.838917217	526.07174222	498.658	525.716666667
55024	36.247370	-76.039526	35.073750	-83.815700	531 mi	8 hours 19 mins	537.789813307	518.784428662	528.819	542.9
55025	35.043721	-84.141387	35.172301	-76.716121	500 mi	7 hours 59 mins	503.309061202	493.77939995	500.163	519.516666667
55026	35.173252	-82.888530	35.712147	-76.114092	458 mi	7 hours 21 mins	467.919908452	453.005168381	446.999	479.5
55027	36.525493	-76.053119	35.340320	-83.281574	486 mi	7 hours 41 mins	488.966868437	475.619248618	485.363	508.083333333
55028	35.932714	-76.803068	34.996475	-83.748705	471 mi	7 hours 17 mins	475.105295176	450.247622075	468.873	470.783333333
55029	36.292980	-76.147254	35.330790	-83.209176	467 mi	7 hours 8 mins	473.769288786	446.088126893	464.142	461.366666667
55030	35.327495	-83.200413	36.241811	-76.216265	461 mi	7 hours 1 min	467.321424948	440.310489363	453.771	461.083333333
55031	34.693864	-76.554029	35.061750	-83.999500	521 mi	8 hours 23 mins	525.225551528	521.048280486	523.178	558.766666667
55032	35.118516	-76.632909	35.439142	-83.439674	453 mi	7 hours 7 mins	456.931220424	444.739481158	453.638	475.583333333
55033	36.446663	-76.328112	35.437616	-83.747623	479 mi	7 hours 51 mins	515.377647726	500.803349455	506.664	508.9
55034	34.728223	-76.515811	35.101391	-83.952503	512 mi	8 hours 12 mins	516.150556071	510.339513977	521.066	552.933333333
55035	35.206936	-83.818429	35.127828	-76.919676	462 mi	7 hours 16 mins	466.243220977	450.4634454	463.1981	472.266666667
55036	36.102428	-75.825161	35.334595	-83.787654	542 mi	8 hours 27 mins	558.206820341	541.86161305	539.251	552.4
55037	35.929972	-76.331461	35.323640	-83.791027	486 mi	7 hours 24 mins	489.757458383	460.148132604	483.0701	485.133333333
55038	35.041399	-77.000575	35.054920	-83.816480	467 mi	7 hours 19 mins	470.968018027	455.595484757	467.679	478.083333333
55039	36.214272	-76.042668	35.137399	-83.401450	500 mi	7 hours 43 mins	506.654525654	483.935552016	497.534	503.966666667
55040	35.139030	-82.880497	35.209096	-75.693904	535 mi	8 hours 44 mins	544.156188209	537.211721824	523.862	561.7
55041	36.354534	-76.536322	35.414464	-83.448644	446 mi	7 hours 16 mins	479.74919426	454.193626836	471.674	474.233333333
55042	35.333179	-83.738737	36.277965	-76.364943	493 mi	7 hours 33 mins	501.991215153	472.842955518	484.968	502.316666667
55043	35.118614	-83.391745	36.479518	-76.326234	494 mi	7 hours 27 mins	498.208378991	477.413290819	483.226	488.266666667
55044	35.223067	-75.686021	35.184902	-83.179470	557 mi	9 hours 9 mins	568.709191737	567.789300828	562.233	593.583333333
55045	35.150999	-83.904844	35.841666	-75.655498	540 mi	8 hours 21 mins	544.377189312	521.752386429	529.1119	544.883333333
55046	34.888937	-76.334215	35.039247	-83.262646	511 mi	8 hours 23 mins	509.651015008	516.188828242	494.033	545.266666667
55047	35.206757	-83.371564	36.361179	-76.289065	480 mi	7 hours 17 mins	491.925527767	473.696260043	469.32	475.05
55048	35.509246	-76.991851	35.190199	-83.920956	458 mi	7 hours 6 mins	461.774813938	442.695581471	475.077	489.516666667
55049	35.038139	-83.872504	35.110589	-75.976051	623 mi	10 hours 50 mins	622.210866388	640.73178549	607.7759	671.216666667
55050	35.955830	-76.238845	35.296662	-83.885080	502 mi	7 hours 48 mins	505.745033734	487.063898435	497.9421	512.883333333
55051	35.344858	-83.815407	35.972340	-76.758898	469 mi	7 hours 7 mins	473.629758557	442.133170914	458.577	470.033333333
55052	35.138712	-83.494398	36.461677	-76.812376	436 mi	7 hours 0 mins	464.440160431	443.487036259	438.793	457.683333333
55053	35.177633	-83.925260	35.812808	-77.102687	446 mi	6 hours 49 mins	449.983178142	423.551660051	434.886	440.7
