ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
25001	35.999190	-81.563474	36.126670	-81.098711	32.7349787949	44.3228483986
25002	35.843869	-77.897280	35.550554	-77.231747	55.9318634836	70.8853967812
25003	35.700436	-81.736722	36.340293	-80.570882	105.861302098	108.390347275
25004	35.109818	-84.008962	35.311622	-82.443611	123.86862643	135.139605675
25005	35.541478	-77.668561	35.058361	-77.187700	54.9185845591	62.9404596515
25006	35.551959	-80.870738	35.375766	-81.693125	77.8342989404	85.4678619125
25007	36.096968	-78.469086	35.523727	-78.586605	47.8769213278	54.9500696091
25008	35.546253	-80.907685	35.874310	-80.549436	42.6856362708	46.4502744282
25009	34.738626	-76.741861	35.882012	-77.608053	112.653670468	135.213157217
25010	35.266142	-78.879178	35.194832	-80.348809	121.034950868	144.276723902
25011	36.378589	-75.829888	36.418055	-77.091091	123.152327358	147.779161326
25012	35.870615	-76.612345	35.228115	-78.083883	133.766209095	130.433519546
25013	34.154775	-78.695370	36.035380	-77.870099	177.197728285	162.997942443
25014	36.354701	-78.630723	35.673062	-78.405723	67.1540281965	76.7115015133
25015	36.015662	-82.642836	35.924424	-82.041569	56.8012481611	76.703300944
25016	35.366361	-77.460233	36.191427	-76.153582	126.793542527	141.334734746
25017	35.526106	-80.964754	36.055466	-82.275182	111.244074705	140.800573468
25018	35.053593	-84.024244	35.791990	-82.631668	128.267644145	141.029982792
25019	35.230819	-75.630793	34.867487	-77.193146	220.379920864	245.745505762
25020	35.500041	-76.987554	35.008291	-76.856126	51.9944290226	65.4993952881
25021	35.510433	-78.797180	34.424812	-78.081474	101.827546797	110.248960385
25022	35.823533	-80.939400	35.330165	-79.402891	142.738246956	138.422424213
25023	35.689459	-81.129950	35.017695	-79.005428	184.446069711	189.60553358
25024	36.367805	-77.900364	35.036849	-79.100264	136.831924788	136.426376611
25025	34.990932	-79.063629	35.957734	-80.532841	146.15591139	152.690503834
25026	35.121405	-80.479239	36.200501	-80.863509	103.402642489	104.170788554
25027	34.039984	-78.554292	34.796930	-79.572313	92.1052828969	98.4687880076
25028	35.567752	-77.310347	35.854722	-76.625233	58.4509616965	72.3696705263
25029	35.436698	-80.116035	35.370676	-82.179874	155.668179371	163.932474151
25030	36.084114	-80.633273	36.124405	-80.858197	15.6627379074	20.2286649773
25031	36.329252	-78.631698	34.915580	-78.551680	115.493513611	133.710988593
25032	36.482682	-81.542518	35.549446	-82.849682	168.491964898	191.770061596
25033	35.621801	-80.886632	35.238616	-82.736257	142.293206687	151.438212813
25034	36.503892	-81.057574	35.615991	-80.596402	84.2512528152	99.6090820787
25035	35.636314	-82.066210	35.231794	-82.239060	39.259127629	57.7269551419
25036	35.794622	-79.082763	34.976767	-79.318462	69.2629163574	83.377007582
25037	35.952468	-81.483635	35.035366	-80.190275	128.74865603	143.902730468
25038	35.311862	-83.156584	35.612166	-82.164926	76.960238584	84.0809658439
25039	34.834652	-78.631884	33.925263	-78.302588	84.4153123782	103.330426759
25040	36.089977	-76.610687	35.341054	-78.644680	156.202266977	148.826297365
25041	36.504718	-79.370407	36.465584	-77.465679	144.62680018	155.316147758
25042	35.756433	-79.474287	36.346125	-78.215281	98.9152120293	107.984569479
25043	35.463953	-80.866679	35.217008	-81.812807	73.5694374218	82.597725578
25044	35.736295	-81.428612	35.153839	-81.092660	51.7065109526	59.4627329133
25045	36.081340	-80.105558	35.000554	-79.144574	124.143271144	137.455960501
25046	34.971437	-78.893293	35.404104	-77.728308	95.7474745825	98.5963725356
25047	35.961275	-79.304199	36.494691	-77.858617	111.279402002	118.71958611
25048	34.444086	-78.604247	35.412950	-78.053865	88.0436289161	106.376350254
25049	35.036002	-80.663665	35.906295	-79.776806	102.632889313	103.006644452
25050	36.154825	-77.409811	35.127828	-76.919676	94.1902382114	110.945204514
25051	35.623324	-80.282969	36.458629	-78.307169	157.742741769	145.722446218
25052	34.094547	-78.545465	35.120457	-77.516600	134.280779297	141.270253839
25053	34.726749	-79.045476	35.404248	-77.728300	117.99947674	122.557907976
25054	34.770948	-77.960496	36.249503	-77.092359	163.788105524	154.271972817
25055	35.194151	-78.858778	35.214725	-80.460561	170.950277744	178.42620488
25056	35.678961	-81.536582	35.284582	-82.693272	92.0363640138	92.2797217901
25057	34.929609	-79.826899	35.119712	-78.620971	108.677686706	104.773861562
25058	36.427284	-77.119196	35.221290	-77.634053	103.677429746	128.131436498
25059	35.162780	-83.427913	35.538964	-81.449728	147.211452536	150.056154463
25060	35.244533	-80.985156	35.984517	-80.683132	64.3257736192	71.6390172099
25061	36.290990	-80.203759	35.922173	-82.102373	145.59623499	156.781494976
25062	35.234256	-82.735444	36.114270	-80.743582	161.382469355	158.3557313
25063	36.479066	-81.314483	35.868275	-80.498897	84.209367445	109.838107214
25064	35.027197	-83.766686	36.075736	-76.522187	492.166466652	461.884230979
25065	36.020125	-80.068604	34.987951	-79.049681	117.741053124	132.021943162
25066	35.807417	-80.939305	35.485360	-79.221285	127.153954976	119.770388072
25067	36.114833	-81.134265	35.983938	-80.426646	49.6267199618	52.6910692988
