ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
99864	36.220994	-78.396946	36.390778	-78.148934	23.5900840204	33.0311010042
99865	36.332885	-80.418645	35.655793	-79.830537	68.4442574143	70.8909815657
99866	35.099538	-77.323708	35.626541	-78.094779	71.3870260376	77.4909138462
99867	35.906098	-77.740028	35.912654	-77.875092	9.76564923753	18.4442007582
99868	35.313747	-78.701231	35.228894	-78.175329	33.0739983251	42.5605150264
99869	36.263562	-78.415012	35.458655	-79.230650	82.3176828348	88.658534412
99870	34.264300	-78.880915	35.877644	-78.858110	146.799295155	142.236694311
99871	35.805796	-77.068191	36.406238	-76.399084	75.8189869033	78.0500245144
99872	35.347971	-78.021546	35.107465	-75.986453	267.564376109	307.695959227
99873	35.022373	-80.113715	35.377532	-80.324182	34.3833502511	45.3161101588
99874	35.474234	-79.153142	36.336818	-80.334132	102.992154727	109.060447495
99875	36.296399	-76.130297	35.626541	-78.094779	153.276186412	152.183871871
99876	35.149969	-83.411035	35.106688	-76.641258	461.855279305	449.908830803
99877	35.608759	-82.172352	36.454063	-80.411228	156.961069182	146.638576789
99878	35.401831	-79.183961	35.389608	-79.778095	42.2552546539	53.369221303
99879	34.721503	-78.157778	35.107465	-75.986453	322.863942198	364.914628689
99880	35.214824	-81.331198	35.506819	-79.856650	124.211933206	121.650595879
99881	35.252277	-83.412117	35.308275	-83.823356	40.575866938	60.4572852736
99882	35.854705	-79.520903	36.527212	-77.883009	129.406467762	130.380805812
99883	35.539758	-77.708152	34.823219	-79.397271	135.064621846	150.539373109
99884	36.396665	-78.996916	34.391848	-79.085164	174.451770044	177.630951881
99885	35.379620	-77.702891	35.905662	-77.926621	56.0314662338	60.7772871854
99886	35.977993	-81.023271	35.751044	-81.055020	24.3718954587	31.2622896897
99887	35.708048	-81.180468	35.318016	-79.349688	159.161385319	153.698904649
99888	35.718788	-81.751879	35.809986	-80.924494	50.609242624	49.0262519087
99889	34.484561	-78.444568	36.201452	-77.542931	171.172280095	163.771249769
99890	36.132227	-78.118233	35.427238	-77.641381	73.8255961783	77.9033888601
99891	36.030368	-79.331936	36.414678	-80.965285	116.518436394	117.626020448
99892	34.860491	-79.373195	36.492057	-80.432242	171.440738289	169.89382487
99893	35.738943	-81.802437	36.484741	-80.633556	115.196249133	110.17956399
99894	35.906124	-81.072495	35.539646	-82.873496	122.563098249	129.436853302
99895	36.024076	-79.358499	34.560593	-78.900855	127.003123941	147.851637553
99896	35.408817	-79.903451	35.995492	-77.893279	141.088451229	143.382033783
99897	35.325449	-83.830644	36.017250	-81.881618	164.73074552	178.25971961
99898	36.101711	-76.918584	36.245040	-76.323356	44.7788632125	48.2893560417
99899	35.120133	-75.982711	35.962801	-76.239532	120.182875545	178.204333226
99900	35.963167	-82.313690	35.958049	-80.668004	125.268860633	140.781113292
99901	36.032757	-80.042516	35.838789	-80.765430	49.2949185636	49.9671408921
99902	35.011421	-78.909720	35.868208	-77.500988	117.250551385	106.421899264
99903	36.069393	-77.036145	36.454317	-77.683169	55.2142724922	73.6009010736
99904	35.210942	-83.361051	35.938007	-76.353247	463.244926172	436.718313175
99905	34.947345	-79.954652	36.180893	-80.605454	141.600580308	138.001590543
99906	36.306215	-78.399900	35.016138	-79.151531	122.078298311	134.17401274
99907	35.249820	-80.642445	35.502935	-80.738186	24.8418427702	30.5252614191
99908	34.599021	-78.645868	34.501799	-78.056476	44.331874108	49.1356073559
99909	36.058092	-78.522980	36.221094	-77.127763	107.988575041	113.482981393
99910	35.028420	-84.269885	35.329625	-83.795952	54.4155070985	63.5772542626
99911	34.970847	-80.686977	35.513567	-80.386122	64.2863180328	72.8436637361
99912	35.224476	-82.439421	35.245548	-80.893181	111.418282697	103.966017051
99913	36.509391	-80.633442	35.245336	-81.459655	129.828435974	123.501816147
99914	36.063771	-75.701976	36.199272	-76.271515	58.7442204849	75.197936254
99915	34.765741	-79.491789	35.333148	-77.945651	141.293938316	135.428699522
99916	35.538964	-81.449728	36.111010	-81.134942	58.778069352	79.9952428128
99917	35.173130	-80.955531	35.843703	-82.552043	147.446575838	143.445947548
99918	35.001701	-78.970098	34.975407	-79.200576	15.647666307	23.1154194479
99919	34.731297	-76.918365	35.084571	-77.047024	31.4190321909	41.3453259974
99920	35.174678	-83.927157	35.849042	-76.772225	471.062776797	443.545553028
99921	35.363770	-75.501920	35.554477	-82.809464	497.772821192	472.024370088
99922	35.512655	-83.099552	35.313810	-83.181178	32.854610767	42.9495341653
99923	35.166091	-83.435758	35.435111	-83.443944	38.8629360422	44.5724416931
99924	36.296399	-76.130297	36.236095	-76.327106	15.2053699071	22.5364896802
99925	35.595352	-82.435872	35.469842	-82.574147	19.0256955111	21.1014780921
99926	36.426274	-79.754797	36.321540	-80.074913	23.6905922441	33.6374345076
99927	36.498292	-76.056692	35.019052	-83.823824	543.083359271	527.786035913
99928	36.083229	-76.428443	36.243234	-76.320767	19.3706036025	27.8425223964
