ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
62801	36.172565	-80.217867	36.492811	-80.793118	45.1 mi	48 mins	45.5778833145	46.9051865596	45.428	54.0333333333
62802	35.026413	-79.139901	35.220120	-77.636357	97.2 mi	1 hour 52 mins	114.923464495	120.568390823	114.209	126.283333333
62803	35.249986	-77.416194	35.431455	-79.163642	115 mi	2 hours 10 mins	136.320550645	142.620518273	120.073	147.516666667
62804	35.782455	-78.888228	36.277134	-79.107078	45.8 mi	56 mins	49.512298359	57.7442643761	45.763	64.2833333333
62805	35.001082	-76.862380	36.313494	-76.260398	131 mi	2 hours 19 mins	130.627815764	143.530387753	130.781	163.016666667
62806	36.082030	-82.335152	36.154655	-81.981133	39.7 mi	1 hour 2 mins	39.5734922882	61.7068255281	39.497	65.5666666667
62807	35.686978	-77.459791	36.131190	-79.494241	139 mi	2 hours 13 mins	139.31345252	138.776594933	134.821	149.516666667
62808	35.729118	-80.993948	35.518115	-81.022784	20.6 mi	30 mins	30.3169089997	41.3322253236	31.565	45.1
62809	35.698010	-81.981964	34.994962	-83.894011	144 mi	2 hours 31 mins	143.602688456	156.311977979	143.826	160.35
62810	35.487277	-78.261196	36.006389	-79.206367	79.2 mi	1 hour 16 mins	79.2371490285	82.4389789441	82.054	87.8166666667
62811	36.290539	-76.973005	35.878856	-77.237578	39.5 mi	48 mins	38.0494062106	47.1611334074	38.243	54.9
62812	36.333093	-80.421122	35.816057	-82.533829	181 mi	2 hours 49 mins	180.71526463	173.315050409	180.901	178.583333333
62813	36.063517	-76.610447	35.811526	-76.775688	30.1 mi	34 mins	29.8365584126	34.5813253917	30.115	39.2166666667
62814	35.080681	-78.826424	35.205986	-77.899419	59.7 mi	1 hour 9 mins	67.268813679	72.6890063149	66.966	87.1
62815	35.224121	-77.638215	35.883996	-77.232262	59.9 mi	1 hour 10 mins	59.7204570961	71.4978030716	59.891	73.75
62816	35.418331	-77.857412	36.453094	-77.680514	89.7 mi	1 hour 22 mins	89.7089778188	85.3122865353	89.922	97.4666666667
62817	36.513883	-77.162201	36.235841	-76.577102	54.8 mi	1 hour 11 mins	50.8880104298	73.0233790596	49.245	81.6
62818	36.320306	-78.407757	36.493431	-77.842729	39.8 mi	51 mins	40.4066221882	51.2182039482	39.109	56.1833333333
62819	36.053436	-78.973591	36.111535	-80.825090	110 mi	1 hour 44 mins	110.334958318	106.945083357	110.564	116.516666667
62820	36.217862	-79.776802	35.712021	-78.368598	105 mi	1 hour 49 mins	111.866611788	116.426490713	115.323	136.25
62821	36.434335	-80.915666	35.482507	-82.804710	173 mi	2 hours 58 mins	173.084901657	180.244745502	173.911	198.333333333
62822	35.881874	-82.040490	36.046716	-81.902771	22.5 mi	36 mins	22.1987745408	35.0992276807	21.798	38.9833333333
62823	35.669060	-82.033544	35.924224	-82.170118	27.5 mi	41 mins	27.2367472826	41.7847173966	27.505	47.3333333333
62824	36.192799	-77.453868	35.534033	-77.359255	55.6 mi	1 hour 10 mins	59.1788151643	75.3262792618	61.838	84.8666666667
62825	36.082304	-78.953004	35.058159	-77.590176	130 mi	2 hours 18 mins	128.19896248	136.799636305	132.116	155.85
62826	35.696391	-81.753288	35.450865	-79.520316	150 mi	2 hours 36 mins	173.85975543	170.807975845	150.446	179.7
62827	35.270604	-79.727167	36.421049	-79.615229	88.4 mi	1 hour 24 mins	91.376264356	91.9448510465	88.868	93.1833333333
62828	35.822779	-78.890621	35.224546	-80.091952	103 mi	1 hour 52 mins	142.158243197	143.650473279	102.55	129.766666667
62829	35.867272	-77.516063	35.544155	-77.827954	35.4 mi	46 mins	34.6334973643	42.7790711726	34.485	56.2333333333
62830	35.537391	-82.858795	35.312828	-82.484694	37.6 mi	45 mins	35.127184679	43.9206203849	39.434	46.5833333333
62831	36.309345	-76.624541	35.059166	-83.809955	503 mi	7 hours 44 mins	507.470869074	482.156473129	500.7251	508.65
62832	35.354738	-79.930816	35.951845	-79.072252	101 mi	1 hour 38 mins	100.645749235	100.255836517	91.05	113.733333333
62833	35.943188	-80.401274	35.010938	-79.074369	124 mi	2 hours 19 mins	143.464400845	153.685985313	141.582	163.0
62834	36.029272	-77.904043	35.377639	-77.246237	75.1 mi	1 hour 19 mins	74.2483521775	80.8576712204	74.529	93.6166666667
62835	36.126067	-78.965920	36.540201	-76.809598	156 mi	2 hours 41 mins	162.960727627	164.763595405	164.671	187.783333333
62836	35.528410	-78.855584	36.349255	-79.115351	74.4 mi	1 hour 25 mins	77.8485443724	98.7109198041	77.683	106.45
62837	35.973598	-81.084689	35.950256	-81.080289	1.7 mi	2 mins	1.6784356125	4.05177042354	1.709	3.66666666667
62838	36.438425	-78.224323	35.869972	-76.296658	143 mi	2 hours 33 mins	169.88306756	175.5558173	145.304	178.733333333
62839	34.400233	-77.639523	35.031972	-78.399208	80.3 mi	1 hour 22 mins	79.2790199364	86.4853367656	86.121	99.25
62840	34.780265	-77.108338	35.561026	-76.252000	134 mi	2 hours 32 mins	134.62725842	154.91691618	137.232	177.716666667
62841	34.867057	-79.217973	36.015259	-77.875254	123 mi	1 hour 55 mins	122.390781238	115.90907166	123.861	133.016666667
62842	35.714413	-81.189028	35.325479	-81.621340	48.6 mi	1 hour 5 mins	50.3875948574	71.6147810049	49.97	71.6833333333
62843	36.136875	-78.732934	36.403884	-77.718159	70.1 mi	1 hour 17 mins	70.3611051124	77.3340327174	70.223	85.5666666667
62844	35.836487	-79.628499	36.154441	-79.695212	29.0 mi	32 mins	28.9800847295	33.4200711096	29.023	38.0
62845	35.822648	-79.530229	35.554136	-79.128584	39.3 mi	44 mins	41.7492766381	47.1210371727	43.009	57.9333333333
62846	35.267270	-79.076443	35.638462	-78.286810	73.1 mi	1 hour 17 mins	72.8485662402	83.3316215232	78.205	87.4333333333
62847	34.232654	-77.989879	34.566154	-78.097174	27.6 mi	30 mins	27.6043904033	30.3029868764	27.632	35.0
62848	35.368381	-76.957743	35.800600	-77.462098	50.0 mi	1 hour 1 min	48.9150489683	57.6545234849	54.049	72.9833333333
62849	35.332245	-80.593761	36.531368	-79.598600	116 mi	1 hour 56 mins	123.961617487	125.582565067	120.284	133.783333333
62850	35.806572	-81.306504	35.489158	-80.688849	62.1 mi	1 hour 11 mins	71.8335468052	80.4312509142	64.417	80.7833333333
62851	35.491461	-76.970252	35.046062	-83.781096	459 mi	7 hours 5 mins	462.489478946	442.424572768	455.788	462.866666667
62852	35.179095	-77.289737	35.887698	-79.044641	128 mi	2 hours 12 mins	127.77517754	136.173586145	128.224	146.533333333
62853	35.173791	-80.954444	36.082541	-78.992750	150 mi	2 hours 17 mins	150.027226848	140.046682228	150.291	150.883333333
62854	35.370130	-81.283831	36.515373	-81.104246	111 mi	2 hours 6 mins	120.442161795	126.188869182	112.286	139.266666667
62855	35.814467	-81.318925	36.015983	-82.154686	80.8 mi	1 hour 34 mins	80.9408017657	97.4086125063	80.266	101.3
62856	35.182051	-78.127071	35.289456	-77.881574	19.0 mi	28 mins	23.4163798383	31.0127154244	24.632	40.25
62857	35.087848	-78.762706	35.061485	-77.137422	118 mi	2 hours 10 mins	122.742426548	137.67063387	133.951	162.8
62858	36.032667	-82.003198	35.632614	-81.908337	42.9 mi	1 hour 0 mins	42.9375972731	61.7426227352	43.023	66.8166666667
62859	35.762848	-77.541917	36.141727	-78.765865	105 mi	1 hour 39 mins	103.16694611	104.306354017	98.442	118.566666667
62860	35.884478	-79.345638	35.593495	-80.586747	84.1 mi	1 hour 29 mins	93.6255904186	96.9231362301	95.316	110.883333333
