ODIndex	originLat	originLng	destinationLat	destinationLng	ArcGISMile	ArcGISMin
85001	35.260110	-75.581030	35.216514	-83.494615	566.199718706	559.301847159
85002	36.278843	-76.224270	34.997629	-83.824069	523.002143143	496.560467992
85003	35.189448	-80.972500	35.237496	-80.942125	5.28418472708	6.60550994716
85004	35.426348	-79.760322	35.477526	-80.085650	29.1036882822	39.6415740132
85005	36.542626	-75.926471	36.354493	-76.264957	56.7344107671	72.4723512407
85006	35.562396	-78.456500	35.623944	-78.098310	28.4632017457	35.3837557689
85007	35.463529	-81.795115	35.453878	-81.722182	6.67977710814	9.88314399401
85008	36.087575	-76.381922	35.002513	-83.878624	509.949196958	495.678212318
85009	35.673584	-80.096339	35.734488	-79.789263	28.242773339	33.9292553772
85010	35.367018	-82.132669	35.282939	-81.784614	29.4115982745	39.0730956778
85011	35.191288	-83.912011	35.978229	-76.159350	511.544965966	495.613836446
85012	35.369540	-81.073694	35.792433	-80.942874	54.3560478586	57.2539478391
85013	35.989537	-80.438708	36.032366	-80.504365	6.17648291299	10.1292154797
85014	35.401179	-76.308561	35.068829	-83.368461	494.787798408	475.575241707
85015	35.038858	-76.695457	35.078443	-83.757264	491.18759677	482.617000748
85016	35.431046	-79.213071	35.463680	-79.096485	8.34988264905	14.1330638825
85017	36.127067	-79.933693	36.468880	-79.880548	29.714926502	36.0405797074
85018	35.062776	-78.784427	35.103037	-78.958730	12.6376475248	22.7121113364
85019	35.601148	-82.397373	35.220450	-82.205393	52.5085631819	54.375907856
85020	35.986111	-82.185734	35.903302	-82.122186	11.9963807784	18.4546827304
85021	35.586995	-80.462807	35.233532	-80.192400	36.5367594219	48.1386845955
85022	35.977270	-80.291016	36.233455	-80.655122	37.3568318669	45.9776848538
85023	35.971763	-81.160136	36.107321	-81.529383	40.6860699801	57.9469708057
85024	35.669216	-81.176235	35.261125	-81.361211	43.6744669556	47.8022216336
85025	34.792443	-78.501716	35.087848	-78.762706	36.7971532674	43.2989295674
85026	36.168394	-80.228667	36.313481	-80.401311	16.3209332591	21.8917514785
85027	35.988643	-80.299475	36.116329	-80.728890	32.1788091291	40.4865271853
85028	35.327176	-81.085550	35.477871	-81.018605	16.6392982786	22.1944278266
85029	35.335642	-83.295480	35.875907	-76.257016	459.89498553	430.308411569
85030	35.810015	-76.870032	35.835611	-76.720047	10.959840005	14.8424284077
85031	36.485812	-77.014066	36.278368	-77.017118	20.6703482087	26.418846165
85032	34.901766	-77.818854	34.811023	-77.459534	25.7095366276	35.1462191972
85033	36.371144	-76.270311	36.340762	-76.241902	3.47708431427	6.01009954779
85034	35.030575	-83.725170	35.319650	-83.795454	50.8663351049	60.4370460429
85035	35.552898	-82.471846	35.476088	-82.889754	28.3320994088	34.2013952042
85036	36.109876	-76.554822	35.335882	-83.813654	484.144247445	454.627407954
85037	36.054053	-76.663953	35.427438	-83.445126	447.20374154	412.949240843
85038	36.528201	-81.277862	36.100621	-81.179976	39.2406184865	56.3963749197
85039	35.565082	-82.193050	35.236950	-82.205148	37.2234758582	61.8429903898
85040	36.309920	-77.147945	35.018509	-83.855684	468.700024655	452.315224829
85041	35.022764	-83.789145	35.019138	-84.214812	28.9605609502	36.1885542977
85042	35.843707	-75.652983	35.168407	-83.246818	518.173669816	496.73141691
85043	35.014979	-84.311576	35.719818	-77.341437	469.353407022	446.930788796
85044	35.020308	-84.010452	36.244810	-77.091784	482.158203156	460.650172392
85045	36.140994	-80.340338	36.070982	-80.617885	27.6850841973	34.9057901304
85046	35.539646	-82.873496	35.373261	-82.524441	31.2500650062	39.3768423487
85047	36.511483	-80.954434	36.514183	-80.648662	27.0026498514	36.6255754469
85048	34.976482	-79.265600	34.668624	-78.978268	33.477272714	42.0663863734
85049	35.191833	-80.545673	35.472120	-80.371631	24.8101698425	31.4487519399
85050	35.101629	-78.774806	35.246598	-78.548651	22.5292068493	23.3430384177
85051	35.506614	-80.538862	35.282959	-80.679538	22.6219464508	23.8689983523
85052	35.028017	-83.803746	35.849773	-76.766785	472.18267051	443.151913811
85053	34.964836	-79.938346	34.812452	-79.549931	27.7264990635	26.9941311617
85054	35.316476	-79.005222	35.263748	-78.919290	9.22137396205	19.9132748578
85055	35.972340	-76.758898	35.398615	-83.627233	456.994978886	422.165065394
85056	35.028017	-83.803746	35.007573	-84.194526	27.3313326992	33.3463794425
85057	35.253083	-82.131948	35.205907	-81.776194	32.8197672393	37.9420713992
85058	35.227018	-83.442351	36.090910	-76.389277	476.258694576	461.558447184
85059	35.836527	-81.576758	35.951012	-81.150297	31.4194464189	47.5397576077
85060	35.434558	-83.471361	35.111060	-75.980444	582.850512633	598.801892323
85061	35.247782	-79.957837	35.342667	-79.596926	31.3067871805	41.0657703004
85062	34.747622	-76.626027	35.182531	-83.400066	471.961223337	461.536177206
85063	35.972174	-79.052189	36.338113	-78.834880	45.6383086735	57.7365914626
85064	35.717383	-81.752879	35.275826	-81.784696	50.0330826128	56.9321938819
85065	35.265819	-82.691409	35.248804	-82.630934	5.4969488399	7.48019102978
85066	35.961056	-78.485854	35.910296	-78.616235	10.5596434064	15.8721224428
85067	35.262917	-81.601302	35.333565	-81.911104	21.3301514403	26.2052352739
85068	35.412567	-80.755128	35.523593	-80.611444	15.6428920179	23.8887319269
85069	35.264364	-82.496379	36.013402	-75.660786	509.066245047	497.971673492
85070	36.055787	-76.664759	34.998753	-83.743652	484.423381387	456.998528302
85071	35.539779	-78.543333	35.777253	-78.239912	46.5328291659	48.7851955882
85072	35.495639	-80.752373	35.885077	-80.593129	44.8858395395	50.5921274227
85073	35.036195	-83.877057	36.265901	-76.381507	515.722076845	489.794199725
85074	36.207121	-78.446748	36.025104	-78.509468	13.5695601732	14.5925511585
85075	35.348028	-75.511870	35.105209	-82.907838	529.611314028	517.56327916
85076	36.013455	-78.505314	36.056341	-78.553603	6.34913142382	12.7667836051
85077	36.512696	-76.240654	35.062472	-83.813714	534.917109008	518.070788293
85078	36.013057	-82.187339	35.903256	-82.121312	13.0740766532	18.3851164058
