ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
64733	35.538324	-82.881099	35.938655	-80.998210	134 mi	2 hours 8 mins	131.930939413	133.864994491	134.171	144.216666667
64734	36.475968	-76.039581	35.906080	-76.400067	66.7 mi	1 hour 20 mins	61.2264694753	83.0996256317	62.517	90.3833333333
64735	36.349078	-76.164914	36.086865	-76.389433	31.9 mi	42 mins	31.9707086875	51.3208907099	31.933	58.0833333333
64736	36.121399	-79.652353	36.501367	-80.813801	86.5 mi	1 hour 27 mins	87.6406588422	87.4753457586	85.214	94.5666666667
64737	35.247841	-81.018406	35.550767	-82.938799	130 mi	2 hours 8 mins	143.876796582	137.903749531	130.444	136.966666667
64738	36.319864	-79.132620	34.828607	-79.226285	143 mi	2 hours 30 mins	151.951310727	158.18638058	152.816	179.183333333
64739	34.251430	-78.057087	36.443390	-78.204184	192 mi	2 hours 58 mins	192.831339966	183.776126912	192.71	195.766666667
64740	35.217219	-80.092108	35.234220	-81.969107	135 mi	2 hours 24 mins	132.093635342	155.981378798	129.115	160.7
64741	35.301197	-80.859560	35.045091	-79.143026	124 mi	2 hours 25 mins	128.756344004	152.540671898	127.258	151.133333333
64742	35.400643	-78.182345	36.274381	-78.996529	92.5 mi	1 hour 39 mins	96.7691604077	104.133232493	93.905	119.583333333
64743	34.349810	-78.655439	35.050355	-77.469719	107 mi	1 hour 59 mins	110.628197788	130.966638912	110.343	159.483333333
64744	35.307696	-80.910024	35.681320	-82.107130	93.3 mi	1 hour 36 mins	93.3319122232	99.6629530562	93.443	101.283333333
64745	35.451016	-79.218050	36.529393	-79.778498	97.9 mi	1 hour 41 mins	97.2395122093	103.009861983	97.994	112.316666667
64746	36.270164	-77.718391	34.933149	-79.133082	135 mi	2 hours 0 mins	134.977921087	123.990081668	135.366	137.966666667
64747	35.553732	-80.858414	36.336818	-80.334132	75.0 mi	1 hour 18 mins	75.7382771154	80.0005687235	75.104	80.3833333333
64748	36.249084	-77.902581	36.038158	-77.983252	19.5 mi	24 mins	21.5277927158	25.134669898	21.103	43.8833333333
64749	35.745488	-79.198319	34.146519	-77.890428	166 mi	2 hours 31 mins	165.542775015	155.484879374	165.943	166.0
64750	34.605369	-78.605485	35.051441	-78.798312	36.7 mi	45 mins	42.8884778903	47.1804300998	43.008	53.0
64751	35.434985	-79.166375	36.294731	-80.485778	109 mi	1 hour 51 mins	108.714772646	115.150680841	109.873	125.333333333
64752	34.689197	-77.502432	35.780538	-77.954932	94.2 mi	1 hour 52 mins	102.305527834	114.443571787	93.141	129.716666667
64753	36.403313	-78.753892	35.534289	-80.667833	142 mi	2 hours 26 mins	160.201247198	158.324544474	159.607	171.7
64754	36.359297	-77.016324	36.426913	-76.390504	41.4 mi	50 mins	41.4642229412	48.345397112	41.438	55.2833333333
64755	35.706573	-77.782857	36.284759	-76.378799	109 mi	1 hour 52 mins	110.071947466	120.636096103	110.09	132.85
64756	35.305843	-80.880536	35.926952	-82.202687	121 mi	2 hours 17 mins	127.721967085	141.112298861	121.29	148.316666667
64757	36.386038	-78.991162	35.576709	-77.519329	128 mi	2 hours 7 mins	127.790340139	127.89127569	125.097	147.35
64758	36.086296	-82.189497	35.216954	-82.742011	87.5 mi	1 hour 47 mins	87.3452172434	105.727995231	88.217	114.216666667
64759	36.461185	-81.001973	35.511442	-82.852472	176 mi	2 hours 49 mins	175.547184044	173.970959961	178.001	182.25
64760	36.078671	-77.611059	36.205730	-78.234738	50.7 mi	1 hour 6 mins	55.9418074822	72.8751969264	71.239	97.0666666667
64761	36.065664	-79.100536	36.515518	-79.516750	48.9 mi	1 hour 1 min	49.8717591031	59.0007175404	50.198	67.1666666667
64762	35.393060	-83.214499	35.380318	-83.614294	33.9 mi	41 mins	34.6019013952	41.8670192903	33.853	47.1666666667
64763	34.845659	-78.854618	35.566723	-79.076944	61.8 mi	1 hour 14 mins	63.2359608532	74.8021590046	68.321	83.4666666667
64764	35.021741	-83.681764	35.995690	-82.137339	151 mi	2 hours 44 mins	149.111613823	166.038630586	151.708	177.833333333
64765	35.428512	-77.640445	36.011474	-77.857184	55.2 mi	53 mins	55.0542817442	53.9625672065	57.596	65.8833333333
64766	36.157938	-80.223359	35.626884	-80.884525	61.9 mi	1 hour 3 mins	61.5972620075	69.0011083188	65.427	72.85
64767	35.808482	-81.318191	35.793386	-82.668572	104 mi	1 hour 44 mins	104.11249891	107.757364573	103.182	111.016666667
64768	35.068484	-78.432510	35.011833	-78.295145	10.0 mi	14 mins	10.5267295871	17.9378544983	9.056	19.6166666667
64769	36.545638	-81.010441	35.755350	-81.405485	103 mi	1 hour 42 mins	102.563910139	102.793787782	103.974	116.35
64770	36.462549	-79.427950	35.035698	-80.289840	136 mi	2 hours 25 mins	160.606145408	165.282595137	138.39	170.683333333
64771	36.351405	-76.599123	35.427152	-77.935104	123 mi	2 hours 21 mins	156.34552912	150.222709583	151.541	171.133333333
64772	36.469043	-76.034374	35.628379	-77.337758	110 mi	2 hours 1 min	118.446062334	128.127622544	119.244	136.733333333
64773	35.367941	-79.202765	35.501054	-80.665147	99.5 mi	2 hours 4 mins	131.026367529	131.728002529	99.285	145.716666667
64774	35.723808	-77.122174	36.007848	-78.080802	65.7 mi	1 hour 8 mins	65.6509727043	72.614925858	74.818	88.8
64775	35.986803	-81.069842	35.987202	-82.181768	103 mi	2 hours 3 mins	103.561409512	131.019005387	103.19	133.0
64776	35.455621	-77.670595	36.086765	-76.423647	97.8 mi	1 hour 49 mins	108.550251382	116.70954016	108.754	128.683333333
64777	36.369217	-75.824599	35.314605	-83.125107	529 mi	8 hours 28 mins	550.658108119	548.041902694	526.7971	546.416666667
64778	36.437754	-78.227725	35.829379	-76.777113	112 mi	1 hour 54 mins	120.777489041	123.55480589	113.065	135.2
64779	35.533436	-80.417268	36.414678	-80.965285	84.4 mi	1 hour 39 mins	88.767456128	107.186569101	89.106	111.116666667
64780	35.473187	-80.697713	35.047989	-79.122941	124 mi	2 hours 25 mins	143.888151929	162.896970023	143.076	171.5
64781	35.446606	-77.826380	36.084901	-75.818494	163 mi	3 hours 1 min	173.119692334	186.062345834	173.56	197.133333333
64782	36.173046	-80.348505	36.139151	-78.857085	91.7 mi	1 hour 40 mins	101.091667109	106.989045301	92.456	112.233333333
64783	36.086939	-79.083575	36.509547	-76.887679	153 mi	2 hours 49 mins	166.216778273	169.370222111	167.904	191.75
64784	35.563596	-80.643780	35.245709	-80.965539	37.2 mi	45 mins	37.1908535226	45.0112928495	37.652	46.8333333333
64785	36.169985	-80.176711	35.549011	-81.021965	77.6 mi	1 hour 20 mins	78.6813578579	86.2902438074	80.821	90.65
64786	36.049035	-79.007379	35.419048	-77.302981	128 mi	2 hours 4 mins	129.099650434	130.465579706	129.145	144.2
64787	35.353149	-78.548743	34.257251	-77.790634	103 mi	1 hour 33 mins	101.592542726	93.6218717491	103.167	108.333333333
64788	35.723607	-81.909438	35.891893	-82.067954	24.1 mi	38 mins	24.2962160628	38.9520966299	24.156	39.0833333333
64789	34.380200	-78.790852	35.205103	-77.508415	112 mi	2 hours 8 mins	148.591699354	153.991098886	110.241	153.966666667
64790	35.382481	-83.879323	35.251531	-81.844916	156 mi	2 hours 41 mins	156.242791105	162.903823128	156.576	182.083333333
64791	36.244810	-77.091784	36.301068	-76.260779	62.6 mi	1 hour 9 mins	62.7006792685	69.7319911573	62.733	76.25
64792	35.956827	-79.591737	35.742115	-79.673181	18.0 mi	25 mins	22.0996384306	25.9741048877	24.124	34.3666666667
64793	36.193983	-79.878019	36.111925	-78.526698	89.6 mi	1 hour 41 mins	89.5550212033	100.076522665	89.788	105.616666667
64794	35.022537	-79.165755	35.577382	-77.334136	131 mi	2 hours 15 mins	130.195622916	138.386871665	128.7	141.45
64795	34.884329	-76.339967	35.280359	-77.998570	126 mi	2 hours 20 mins	126.01337553	143.999971098	131.15	183.266666667
64796	35.229265	-82.051170	36.143809	-81.217157	94.1 mi	2 hours 1 min	141.519814997	157.625766254	103.249	138.1
64797	36.455822	-79.015995	36.317883	-79.071298	13.1 mi	18 mins	12.7676595912	17.8946535933	13.11	25.65
64798	35.253849	-77.612650	34.681442	-78.985211	110 mi	1 hour 56 mins	122.315265925	121.735412763	120.816	143.9
64799	35.042984	-79.121525	35.873246	-77.099948	157 mi	2 hours 29 mins	156.575185149	153.957585248	161.062	162.683333333
64800	36.174426	-80.229288	35.249820	-80.642445	80.6 mi	1 hour 19 mins	80.2335140561	82.5556265191	80.739	83.6833333333
64801	35.506513	-80.675486	35.614227	-80.867244	19.1 mi	27 mins	19.7927997759	30.4114270876	20.496	36.9166666667
64802	35.858035	-80.103747	36.063568	-81.902767	124 mi	2 hours 16 mins	123.962837587	138.774997503	124.523	143.166666667
64803	35.965595	-77.744135	36.465693	-77.684504	44.8 mi	48 mins	45.4718453948	49.6269914815	49.422	54.5833333333
64804	36.019628	-78.889941	35.022285	-80.659752	160 mi	2 hours 26 mins	158.337953317	149.930801791	158.914	155.266666667
64805	35.342224	-82.457984	35.676817	-82.087060	53.6 mi	56 mins	53.5310185678	57.4688002548	47.918	59.4
64806	34.998991	-83.382891	36.169107	-81.830700	156 mi	2 hours 57 mins	164.309174442	183.467818347	157.222	186.6
64807	33.900186	-78.440587	35.247320	-77.738376	129 mi	2 hours 10 mins	156.939941067	157.201761719	128.902	155.766666667
64808	35.336346	-81.091569	35.231662	-79.214715	123 mi	2 hours 31 mins	139.951338935	162.362185057	134.861	169.083333333
64809	35.732658	-78.455173	34.998400	-77.715025	80.3 mi	1 hour 35 mins	107.206556337	104.779170722	100.798	115.6
64810	36.340579	-80.343167	35.532527	-81.479700	104 mi	1 hour 53 mins	104.988020788	115.0442116	104.503	122.833333333
64811	35.262044	-80.988194	35.637423	-80.781802	35.9 mi	41 mins	34.4510616382	41.0505966439	34.287	43.95
64812	36.494699	-81.053869	36.231172	-81.628479	54.5 mi	1 hour 15 mins	53.4175141506	72.2649758865	54.638	76.2833333333
64813	36.178993	-79.780352	35.834231	-79.096137	60.0 mi	1 hour 12 mins	66.2828405524	72.5987996153	66.49	86.65
64814	34.753146	-77.099619	34.668431	-77.218312	18.0 mi	26 mins	17.871910759	28.5757752296	21.465	36.9333333333
64815	35.556449	-82.807210	35.650771	-80.884724	124 mi	1 hour 59 mins	123.930062592	125.61983017	130.908	134.366666667
64816	35.696381	-81.689882	36.369446	-79.915420	121 mi	2 hours 1 min	121.268264582	124.945448293	122.028	133.216666667
64817	36.335154	-78.473400	36.119765	-80.582001	135 mi	2 hours 2 mins	134.81743806	123.990120362	135.129	132.683333333
64818	36.497806	-81.530135	35.335969	-82.428380	143 mi	2 hours 58 mins	176.109851592	202.179431922	137.277	180.666666667
64819	35.864255	-77.606913	35.829776	-76.429707	82.1 mi	1 hour 22 mins	75.7326246813	82.0921216516	82.199	95.85
64820	35.453728	-76.142219	36.522246	-77.933749	174 mi	2 hours 58 mins	157.267774904	184.230507024	183.285	216.5
64821	36.203892	-79.766541	35.973008	-81.574535	121 mi	2 hours 9 mins	124.665682393	134.26475224	125.408	144.0
64822	35.131243	-76.910080	36.517925	-78.308510	156 mi	2 hours 47 mins	187.71374435	185.246498969	164.73	202.666666667
64823	34.837457	-77.509706	35.554760	-77.430600	61.1 mi	1 hour 10 mins	60.7941113457	70.9106303175	61.029	81.9333333333
64824	35.301976	-80.609210	36.343894	-80.246895	87.3 mi	1 hour 36 mins	87.0549312366	99.5163527315	92.072	111.066666667
64825	35.756670	-78.612482	35.487939	-79.502979	70.8 mi	1 hour 15 mins	64.7876660719	69.3317022896	64.953	82.25
