ODIndex	originLat	originLng	destinationLat	destinationLng	GoogleMile	GoogleMin	ArcGISMile	ArcGISMin	OSMMile	OSMMin
69006	35.060524	-83.809995	35.710864	-76.113217	519 mi	8 hours 5 mins	523.009391453	500.756568808	507.916	535.766666667
69007	36.259386	-76.671012	35.362927	-83.727570	482 mi	7 hours 20 mins	485.884219179	456.470456066	479.125	484.0
69008	36.017627	-76.930327	35.370930	-83.690639	445 mi	6 hours 42 mins	448.972282673	417.533359186	442.152	437.283333333
69009	34.997551	-84.050194	36.423179	-76.420393	504 mi	8 hours 17 mins	536.661619109	525.521470501	507.307	541.95
69010	35.011082	-84.303003	36.539865	-77.588809	443 mi	7 hours 9 mins	472.713172806	447.135983528	446.6259	462.433333333
69011	35.221777	-83.095751	35.107595	-75.986210	583 mi	10 hours 29 mins	591.314640828	624.447560633	576.829	655.3
69012	35.354537	-83.744766	35.133415	-76.761801	467 mi	7 hours 22 mins	470.718182333	454.432490725	478.492	502.116666667
69013	35.064780	-83.901199	34.971686	-76.940511	478 mi	7 hours 34 mins	482.176088633	467.46354758	489.9691	515.483333333
69014	36.256305	-75.891031	35.270248	-82.684289	463 mi	7 hours 13 mins	485.124458238	465.320713567	460.084	460.55
69015	35.124261	-83.411007	36.092724	-76.458774	466 mi	7 hours 3 mins	470.490545956	442.724569504	455.378	468.283333333
69016	35.456271	-76.089129	35.132665	-82.894622	463 mi	7 hours 28 mins	478.979913048	465.281730727	462.79	488.633333333
69017	35.361219	-75.500021	35.872811	-82.561510	504 mi	7 hours 56 mins	508.276970738	492.382758621	501.76	517.5
69018	35.348616	-83.831213	36.420146	-76.865362	451 mi	7 hours 18 mins	482.961928902	460.591530293	454.72	484.75
69019	35.137309	-83.446819	36.301393	-76.248341	484 mi	7 hours 23 mins	490.52385921	459.145606257	474.4229	485.216666667
69020	35.343330	-83.807886	36.300197	-76.884095	467 mi	7 hours 21 mins	484.416152574	461.661093397	460.157	488.166666667
69021	35.266222	-82.405686	35.910721	-75.672432	450 mi	6 hours 51 mins	464.961553341	432.358160538	438.674	448.116666667
69022	35.057968	-83.812243	36.364014	-76.626998	477 mi	7 hours 48 mins	513.628064273	486.772987576	478.783	515.883333333
69023	35.344087	-83.715501	36.277965	-76.364943	494 mi	7 hours 36 mins	503.500850812	476.487240153	480.8159	494.35
69024	35.105356	-83.511189	36.487644	-76.794856	443 mi	7 hours 14 mins	462.254538602	447.901942141	445.111	474.783333333
69025	35.381293	-83.196722	36.196007	-76.098461	465 mi	7 hours 10 mins	475.703397597	450.003408527	458.288	472.016666667
69026	35.261082	-75.524495	35.220305	-83.128899	547 mi	8 hours 43 mins	551.587583692	538.090097588	545.081	559.35
69027	35.662502	-77.020602	35.328399	-83.894084	455 mi	7 hours 5 mins	461.36912684	440.957087631	451.257	464.833333333
69028	36.352482	-76.267067	35.275399	-83.730179	506 mi	7 hours 43 mins	512.835764838	482.778361439	503.193	496.266666667
69029	35.383658	-83.294575	36.005914	-75.679643	498 mi	7 hours 35 mins	531.063738335	515.54958141	487.024	495.5
69030	36.179463	-76.301182	35.037076	-83.793906	507 mi	7 hours 51 mins	513.673927724	486.98493349	506.229	510.7
69031	35.103721	-83.487994	35.034027	-76.712432	465 mi	7 hours 22 mins	468.968601247	457.49892818	476.826	503.55
69032	35.840166	-75.634245	35.495939	-82.873928	458 mi	6 hours 59 mins	462.480361527	435.248419646	456.403	453.683333333
69033	35.037440	-83.818553	36.395028	-76.933010	454 mi	7 hours 21 mins	481.631142782	462.711122564	457.524	481.716666667
69034	35.296183	-83.884620	36.309920	-77.147945	454 mi	7 hours 19 mins	466.274622661	454.776255275	451.361	490.3
69035	35.023623	-76.715460	35.037633	-83.827333	492 mi	7 hours 48 mins	495.620131575	484.614237304	502.3	525.716666667
69036	36.087182	-76.425113	35.417756	-83.444061	460 mi	7 hours 1 min	464.584864103	439.200140895	457.644	460.6
